date,open,high,low,close,volume
2021-05-12,728.9,735.07,723.8,726.26,65290.0
2021-05-14,726.26,734.9,709.5,711.52,51320.0
2021-05-17,713.0,730.0,681.5,696.41,356220.0
2021-05-18,719.8,719.8,700.1,709.55,58640.0
2021-05-19,712.5,712.5,705.0,708.78,63060.0
2021-05-20,709.9,727.75,704.84,720.28,60590.0
2021-05-21,720.0,727.28,715.07,722.51,23150.0
2021-05-24,732.5,745.0,723.5,737.92,81710.0
2021-05-25,738.5,866.66,736.51,841.77,4528110.0
2021-05-26,849.8,878.6,812.2,826.33,2163480.0
2021-05-27,834.8,892.75,813.54,887.0,1167270.0
2021-05-28,887.0,896.0,850.05,860.92,306890.0
2021-05-31,867.0,898.8,846.03,866.85,515900.0
2021-06-01,884.0,884.0,865.0,877.56,228180.0
2021-06-02,870.6,928.59,867.5,892.0,488780.0
2021-06-03,889.0,905.0,880.2,884.77,195700.0
2021-06-04,879.0,899.1,879.0,890.34,167150.0
2021-06-07,891.0,897.56,880.0,885.42,69400.0
2021-06-08,894.91,912.53,882.3,892.91,217580.0
2021-06-09,902.0,908.5,885.01,889.67,153480.0
2021-06-10,889.7,898.47,886.01,892.0,45280.0
2021-06-11,897.9,899.63,882.17,889.53,61670.0
2021-06-14,889.0,897.22,881.5,885.57,357020.0
2021-06-15,886.0,897.2,870.01,876.53,92010.0
2021-06-16,885.0,885.0,867.5,870.73,43690.0
2021-06-17,870.73,880.87,856.3,859.89,46440.0
2021-06-18,867.56,882.01,847.7,858.53,120050.0
2021-06-21,872.0,877.3,858.8,871.82,52480.0
2021-06-22,875.0,882.45,863.1,873.05,106880.0
2021-06-23,870.0,903.5,868.33,898.5,380720.0
2021-06-24,899.4,905.0,895.02,898.94,129570.0
2021-06-25,900.0,904.0,874.8,880.38,68110.0
2021-06-28,885.06,919.0,885.06,904.88,69920.0
2021-06-29,919.0,946.66,910.9,930.65,592130.0
2021-06-30,930.65,943.0,919.0,937.39,152520.0
2021-07-01,937.5,942.45,925.0,932.65,104640.0
2021-07-02,925.51,943.0,925.51,942.57,106110.0
2021-07-05,955.1,958.92,932.5,941.63,76430.0
2021-07-06,942.5,950.0,925.51,930.27,33060.0
2021-07-07,935.0,940.0,898.0,904.0,94200.0
2021-07-08,903.9,955.9,903.9,929.57,187780.0
2021-07-09,934.0,934.0,921.1,924.58,24900.0
2021-07-12,900.0,941.45,900.0,934.4,60410.0
2021-07-13,927.1,935.63,920.01,928.42,26700.0
2021-07-14,929.17,932.5,910.01,915.71,94590.0
2021-07-15,922.0,939.48,920.85,932.78,110390.0
2021-07-16,939.0,939.0,922.08,924.4,19950.0
2021-07-19,925.0,932.95,911.0,915.92,27000.0
2021-07-20,920.06,923.0,891.38,900.05,51190.0
2021-07-22,905.06,919.9,901.01,916.53,51950.0
2021-07-23,920.0,934.9,917.0,924.17,61430.0
2021-07-26,934.0,944.67,920.0,923.09,93210.0
2021-07-27,934.9,953.3,791.11,920.23,1278860.0
2021-07-28,920.1,928.48,865.05,883.38,242770.0
2021-07-29,880.0,899.08,875.0,878.86,66190.0
2021-07-30,880.1,892.44,870.0,874.39,59410.0
2021-08-02,885.31,886.5,865.0,868.65,80530.0
2021-08-03,877.0,880.0,857.51,860.76,130710.0
2021-08-04,864.9,872.0,855.6,865.27,113110.0
2021-08-05,860.1,866.8,857.6,863.98,123820.0
2021-08-06,865.0,872.5,860.0,866.46,55000.0
2021-08-09,872.56,894.27,863.58,886.18,98290.0
2021-08-10,879.1,885.59,868.83,871.99,32400.0
2021-08-11,876.9,882.23,867.51,878.97,49350.0
2021-08-12,879.0,915.0,875.0,910.75,112950.0
2021-08-13,911.0,911.0,885.98,891.54,35800.0
2021-08-16,892.56,895.0,879.5,881.58,37400.0
2021-08-17,878.0,884.1,869.0,877.26,70520.0
2021-08-18,880.06,897.5,877.52,889.59,47880.0
2021-08-20,879.09,905.0,879.09,895.65,112790.0
2021-08-23,908.5,919.0,884.4,896.46,92220.0
2021-08-24,909.0,909.0,879.8,881.49,37000.0
2021-08-25,886.74,892.41,885.6,887.75,13060.0
2021-08-26,888.5,892.02,882.5,889.44,82380.0
2021-08-27,894.2,894.2,877.53,879.53,18780.0
2021-08-30,887.9,890.1,877.5,880.52,25560.0
2021-08-31,888.0,888.0,876.63,882.63,61150.0
2021-09-01,881.1,890.0,878.0,882.42,39350.0
2021-09-02,882.4,894.91,870.1,871.13,75270.0
2021-09-03,878.5,890.0,871.2,873.11,64070.0
2021-09-06,873.11,887.4,872.5,875.26,39100.0
2021-09-07,885.0,886.75,869.0,872.55,42810.0
2021-09-08,879.8,879.8,864.1,866.9,34390.0
2021-09-09,862.5,953.0,860.0,935.83,778500.0
2021-09-13,929.6,944.0,917.28,924.13,163630.0
2021-09-14,932.0,932.5,910.7,915.01,36700.0
2021-09-15,920.06,932.9,910.1,918.98,80380.0
2021-09-16,925.06,925.06,912.02,915.05,28580.0
2021-09-17,919.99,925.06,903.0,916.85,47190.0
2021-09-20,919.9,919.9,900.0,904.53,18030.0
2021-09-21,906.5,912.21,895.0,898.38,35430.0
2021-09-22,898.6,909.23,894.2,901.05,15980.0
2021-09-23,901.05,908.0,891.0,895.48,26040.0
2021-09-24,904.5,904.5,886.52,888.99,20120.0
2021-09-27,890.72,895.26,882.97,887.3,18170.0
2021-09-28,891.74,900.9,881.0,884.73,226480.0
2021-09-29,886.0,900.0,876.5,882.73,31200.0
2021-09-30,885.0,895.5,880.5,888.34,228150.0
2021-10-01,888.4,894.95,882.9,887.84,88490.0
2021-10-04,895.0,895.0,883.1,886.79,68460.0
2021-10-05,888.88,904.0,885.16,897.33,102130.0
2021-10-06,900.06,902.88,878.21,879.93,80610.0
2021-10-07,890.0,894.4,880.51,891.0,129240.0
2021-10-08,900.0,905.0,855.83,876.71,221420.0
2021-10-11,889.6,889.6,876.8,883.28,14570.0
2021-10-12,881.8,888.47,880.0,880.61,26280.0
2021-10-13,882.5,902.0,880.61,890.89,94960.0
2021-10-14,898.9,905.0,875.39,880.54,72370.0
2021-10-18,889.7,889.7,880.54,882.27,64500.0
2021-10-19,1039.9,1058.72,976.93,988.89,2102780.0
2021-10-20,999.9,1034.56,965.0,973.04,691330.0
2021-10-21,974.99,987.64,955.48,965.13,205760.0
2021-10-22,979.3,1000.0,937.81,946.16,318260.0
2021-10-25,950.9,958.47,916.11,923.67,109080.0
2021-10-26,931.0,987.0,931.0,964.82,228960.0
2021-10-27,979.3,1149.93,966.17,1113.27,3617370.0
2021-10-28,1139.99,1161.99,1058.0,1110.37,1795370.0
2021-10-29,1109.0,1110.0,1060.01,1093.7,430590.0
2021-11-01,1104.0,1127.25,1086.04,1107.37,423820.0
2021-11-02,1106.0,1120.99,1097.01,1106.97,124150.0
2021-11-03,1112.0,1131.6,1100.1,1123.02,174780.0
2021-11-04,1131.5,1158.7,1130.1,1141.44,59830.0
2021-11-08,1145.1,1151.74,1125.1,1135.98,172270.0
2021-11-09,1143.32,1143.62,1118.1,1127.16,147680.0
