date,open,high,low,close,volume
2021-05-12,1.65,1.65,1.65,1.65,429832.0
2021-05-14,1.7,1.7,1.7,1.7,452483.0
2021-05-17,1.75,1.75,1.7,1.75,3001785.0
2021-05-18,1.8,1.8,1.8,1.8,573329.0
2021-05-19,1.85,1.85,1.85,1.85,1481945.0
2021-05-20,1.9,1.9,1.85,1.9,4288491.0
2021-05-21,1.95,1.95,1.9,1.95,2083280.0
2021-05-24,2.0,2.0,2.0,2.0,840177.0
2021-05-25,2.1,2.1,2.05,2.1,1300211.0
2021-05-26,2.2,2.2,2.2,2.2,740433.0
2021-05-27,2.3,2.3,2.3,2.3,904376.0
2021-05-28,2.4,2.4,2.4,2.4,1444579.0
2021-05-31,2.5,2.5,2.5,2.5,1079901.0
2021-06-01,2.6,2.6,2.6,2.6,775530.0
2021-06-02,2.7,2.7,2.5,2.55,24109222.0
2021-06-03,2.5,2.5,2.45,2.45,3996866.0
2021-06-04,2.35,2.55,2.35,2.55,9931131.0
2021-06-07,2.65,2.65,2.6,2.65,5879517.0
2021-06-08,2.75,2.75,2.55,2.7,8372546.0
2021-06-09,2.75,2.75,2.6,2.6,5107673.0
2021-06-10,2.65,2.7,2.5,2.7,5827755.0
2021-06-11,2.8,2.8,2.65,2.75,7479493.0
2021-06-14,2.75,2.8,2.65,2.8,7012518.0
2021-06-15,2.8,2.9,2.75,2.85,5662388.0
2021-06-16,2.9,2.9,2.75,2.85,4323422.0
2021-06-17,2.85,2.95,2.75,2.95,3443711.0
2021-06-18,3.05,3.05,2.85,3.05,9296810.0
2021-06-21,3.05,3.2,2.9,3.2,5812656.0
2021-06-22,3.35,3.35,3.2,3.35,4955372.0
2021-06-23,3.5,3.5,3.35,3.5,9096348.0
2021-06-24,3.65,3.65,3.35,3.35,6062917.0
2021-06-25,3.2,3.2,3.2,3.2,1213545.0
2021-06-28,3.05,3.05,3.05,3.05,762246.0
2021-06-29,2.9,2.9,2.9,2.9,1132419.0
2021-06-30,2.8,2.8,2.8,2.8,1253119.0
2021-07-01,2.7,2.7,2.7,2.7,625867.0
2021-07-02,2.6,2.6,2.6,2.6,556301.0
2021-07-05,2.5,2.7,2.5,2.6,15799086.0
2021-07-06,2.6,2.65,2.5,2.5,4138945.0
2021-07-07,2.4,2.4,2.4,2.4,814562.0
2021-07-08,2.3,2.3,2.3,2.3,1613056.0
2021-07-09,2.2,2.4,2.2,2.4,12911995.0
2021-07-12,2.45,2.5,2.35,2.4,8596770.0
2021-07-13,2.4,2.4,2.3,2.3,4634668.0
2021-07-14,2.2,2.25,2.2,2.2,3892046.0
2021-07-15,2.1,2.1,2.1,2.1,1407249.0
2021-07-16,2.0,2.0,2.0,2.0,2875041.0
2021-07-19,1.9,2.1,1.9,2.1,17651798.0
2021-07-20,2.15,2.15,2.0,2.0,5681525.0
2021-07-22,2.0,2.05,1.9,1.9,23982473.0
2021-07-23,1.85,1.9,1.85,1.85,1969782.0
2021-07-26,1.8,1.8,1.8,1.8,1362046.0
2021-07-27,1.75,1.85,1.75,1.85,23691706.0
2021-07-28,1.9,1.9,1.8,1.8,7401004.0
2021-07-29,1.75,1.85,1.75,1.85,9702680.0
2021-07-30,1.9,1.9,1.85,1.9,1983954.0
2021-08-02,1.95,1.95,1.95,1.95,558780.0
2021-08-03,2.0,2.0,2.0,2.0,724143.0
2021-08-04,2.1,2.1,1.9,1.9,15118280.0
2021-08-05,1.9,1.9,1.85,1.85,6803334.0
2021-08-06,1.8,1.9,1.8,1.9,4438301.0
2021-08-09,1.9,1.95,1.85,1.85,3384797.0
2021-08-10,1.85,1.85,1.8,1.8,2465967.0
2021-08-11,1.75,1.8,1.75,1.75,4526674.0
2021-08-12,1.8,1.8,1.7,1.8,2353731.0
2021-08-13,1.85,1.85,1.8,1.85,2392307.0
2021-08-16,1.9,1.9,1.8,1.85,2135015.0
2021-08-17,1.9,1.9,1.8,1.9,2728147.0
2021-08-18,1.9,1.95,1.85,1.95,4497013.0
2021-08-20,1.95,2.0,1.9,2.0,4152049.0
2021-08-23,2.1,2.1,2.0,2.0,5698692.0
2021-08-24,2.0,2.1,1.9,2.05,3301377.0
2021-08-25,2.05,2.1,2.0,2.0,1361614.0
2021-08-26,2.0,2.0,1.9,1.95,1686718.0
2021-08-27,1.9,1.95,1.9,1.9,1241025.0
2021-08-30,1.85,1.85,1.85,1.85,1685004.0
2021-08-31,1.8,1.9,1.8,1.85,2172525.0
2021-09-01,1.85,1.85,1.8,1.8,2489431.0
2021-09-02,1.8,1.85,1.75,1.8,2886940.0
2021-09-03,1.85,1.85,1.75,1.8,1759367.0
2021-09-06,1.8,1.85,1.75,1.75,1487117.0
2021-09-07,1.8,1.8,1.75,1.8,2505007.0
2021-09-08,1.8,1.8,1.75,1.8,1429484.0
2021-09-09,1.8,1.8,1.75,1.75,1643517.0
2021-09-13,1.8,1.8,1.75,1.8,1809853.0
2021-09-14,1.75,1.85,1.75,1.85,2944125.0
2021-09-15,1.85,1.85,1.8,1.8,2174750.0
2021-09-16,1.85,1.85,1.8,1.85,3423274.0
2021-09-17,1.85,1.9,1.8,1.85,2494249.0
2021-09-20,1.8,1.85,1.8,1.8,2739036.0
2021-09-21,1.8,1.8,1.75,1.75,4375649.0
2021-09-22,1.8,1.8,1.7,1.7,2610713.0
2021-09-23,1.75,1.75,1.7,1.75,1886467.0
2021-09-24,1.8,1.8,1.8,1.8,770289.0
2021-09-27,1.85,1.85,1.75,1.75,1689184.0
2021-09-28,1.75,1.8,1.75,1.75,1370294.0
2021-09-29,1.8,1.8,1.7,1.8,2923454.0
2021-09-30,1.8,1.8,1.75,1.8,1732683.0
2021-10-01,1.8,1.8,1.75,1.75,1447824.0
2021-10-04,1.75,1.8,1.75,1.8,2067070.0
2021-10-05,1.8,1.8,1.75,1.75,4031335.0
2021-10-06,1.8,1.8,1.7,1.7,3881553.0
2021-10-07,1.75,1.75,1.7,1.75,2391733.0
2021-10-08,1.75,1.8,1.7,1.8,2613434.0
2021-10-11,1.8,1.85,1.75,1.85,7567764.0
2021-10-12,1.85,1.85,1.8,1.85,1849362.0
2021-10-13,1.85,1.9,1.8,1.85,4902456.0
2021-10-14,1.9,1.9,1.8,1.85,2988157.0
2021-10-18,1.85,1.85,1.8,1.8,4061826.0
2021-10-19,1.75,1.8,1.75,1.75,3437266.0
2021-10-20,1.75,1.75,1.7,1.75,2880705.0
2021-10-21,1.75,1.75,1.7,1.75,1144770.0
2021-10-22,1.75,1.75,1.7,1.75,1674009.0
2021-10-25,1.75,1.75,1.7,1.7,2817582.0
2021-10-26,1.7,1.7,1.65,1.7,3261590.0
2021-10-27,1.7,1.7,1.65,1.65,1831181.0
2021-10-28,1.65,1.7,1.6,1.65,1664660.0
2021-10-29,1.65,1.7,1.6,1.7,3141272.0
2021-11-01,1.75,1.75,1.7,1.75,2385264.0
2021-11-02,1.8,1.8,1.75,1.8,2015201.0
2021-11-03,1.8,1.85,1.8,1.85,2259797.0
2021-11-04,1.9,1.9,1.85,1.9,1583465.0
2021-11-08,1.95,1.95,1.9,1.95,3405345.0
2021-11-09,2.0,2.0,1.95,2.0,1564089.0
2021-11-10,2.1,2.1,2.1,2.1,687511.0
2021-11-11,2.2,2.2,2.2,2.2,799869.0
2021-11-12,2.3,2.3,2.3,2.3,689654.0
2021-11-15,2.4,2.4,2.4,2.4,741458.0
2021-11-16,2.5,2.5,2.3,2.35,21847804.0
2021-11-17,2.3,2.45,2.25,2.45,10587940.0
2021-11-18,2.5,2.5,2.35,2.35,6685141.0
2021-11-22,2.35,2.35,2.25,2.25,1519583.0
2021-11-23,2.15,2.15,2.15,2.15,912319.0
2021-11-24,2.05,2.25,2.05,2.25,6043356.0
2021-11-25,2.3,2.35,2.25,2.35,5214931.0
2021-11-26,2.35,2.4,2.25,2.25,4435453.0
2021-11-29,2.25,2.25,2.15,2.15,4562499.0
2021-11-30,2.1,2.15,2.05,2.1,1549392.0
2021-12-01,2.1,2.15,2.05,2.1,1618227.0
2021-12-02,2.1,2.2,2.05,2.2,4504325.0
2021-12-03,2.3,2.3,2.25,2.3,4528238.0
2021-12-06,2.4,2.4,2.25,2.4,5968292.0
2021-12-07,2.5,2.5,2.3,2.35,5283362.0
2021-12-08,2.35,2.35,2.25,2.3,3598040.0
2021-12-09,2.3,2.4,2.2,2.4,5561634.0
2021-12-10,2.45,2.5,2.4,2.5,10003531.0
2021-12-13,2.6,2.6,2.6,2.6,3574389.0
2021-12-14,2.7,2.7,2.7,2.7,1272042.0
2021-12-15,2.8,2.8,2.65,2.8,12593646.0
2021-12-16,2.85,2.9,2.85,2.9,4490838.0
2021-12-17,3.0,3.0,2.9,3.0,9069715.0
2021-12-20,3.1,3.1,2.85,2.85,4059712.0
2021-12-21,2.75,2.75,2.75,2.75,1480229.0
2021-12-22,2.65,2.85,2.65,2.85,7418104.0
2021-12-23,2.95,2.95,2.8,2.9,8285752.0
2021-12-24,2.95,2.95,2.8,2.9,6255414.0
2021-12-27,2.9,3.0,2.85,3.0,8954194.0
2021-12-28,3.15,3.15,3.15,3.15,4029180.0
2021-12-29,3.3,3.3,3.15,3.3,9448193.0
2021-12-30,3.45,3.45,3.15,3.4,11629251.0
2021-12-31,3.5,3.55,3.3,3.55,10353758.0
2022-01-03,3.7,3.7,3.65,3.7,2946642.0
2022-01-04,3.85,3.85,3.55,3.85,15105108.0
2022-01-05,3.9,3.95,3.7,3.7,8899555.0
2022-01-06,3.55,3.8,3.55,3.7,10452038.0
2022-01-07,3.8,3.8,3.55,3.6,8154390.0
2022-01-10,3.7,3.7,3.45,3.7,8905914.0
2022-01-11,3.7,3.85,3.6,3.8,9755955.0
2022-01-12,3.95,3.95,3.65,3.75,7712618.0
2022-01-13,3.7,3.8,3.6,3.6,5310335.0
2022-01-14,3.6,3.7,3.45,3.65,8224875.0
2022-01-17,3.7,3.75,3.55,3.55,7279305.0
2022-01-18,3.65,3.65,3.4,3.4,5957135.0
2022-01-19,3.4,3.4,3.25,3.25,4380798.0
2022-01-20,3.15,3.4,3.1,3.4,4190552.0
2022-01-21,3.55,3.55,3.45,3.55,5974890.0
2022-01-24,3.55,3.55,3.4,3.4,2875304.0
2022-01-25,3.25,3.25,3.25,3.25,1988396.0
2022-01-27,3.1,3.2,3.1,3.15,3972881.0
2022-01-28,3.1,3.3,3.1,3.3,4111501.0
