date,open,high,low,close,volume
2021-06-21,77.5,77.5,77.5,77.5,20400.0
2021-10-06,69.0,69.0,69.0,69.0,1200.0
2021-10-12,62.5,62.5,62.5,62.5,48000.0
2021-12-01,60.88,60.88,60.88,60.88,1200.0
2021-12-02,63.38,63.38,63.38,63.38,1200.0
2022-03-04,63.0,63.0,63.0,63.0,96000.0
2022-03-09,63.0,63.0,63.0,63.0,30000.0
2022-03-29,62.5,62.5,62.5,62.5,1200.0
2022-04-06,55.0,62.5,55.0,55.23,223200.0
2022-04-07,55.5,56.15,55.5,55.78,86400.0
2022-04-11,56.5,58.0,56.5,58.0,172800.0
2022-04-12,59.75,59.75,59.75,59.75,21600.0
2022-04-13,60.0,60.0,60.0,60.0,25200.0
2022-04-18,58.5,58.5,58.5,58.5,55200.0
2022-04-19,55.5,55.5,55.5,55.5,24000.0
2022-04-20,56.5,56.5,56.5,56.5,40800.0
2022-04-21,55.5,55.5,55.5,55.5,40800.0
2022-04-22,55.0,55.0,54.95,54.95,38400.0
2022-04-25,55.5,55.5,55.5,55.5,24000.0
2022-04-26,57.5,57.5,55.5,55.68,50400.0
2022-04-27,55.0,55.0,55.0,55.0,38400.0
2022-04-28,55.0,55.0,55.0,55.0,40800.0
2022-04-29,54.75,56.0,54.75,56.0,34800.0
2022-05-02,56.5,56.5,56.5,56.5,30000.0
2022-05-04,55.0,55.0,55.0,55.0,40800.0
2022-05-05,56.0,56.0,56.0,56.0,31200.0
2022-05-06,55.0,55.0,55.0,55.0,40800.0
2022-05-09,56.0,56.0,56.0,56.0,36000.0
2022-05-12,55.0,55.0,55.0,55.0,54000.0
2022-05-13,56.5,56.5,55.0,55.0,34800.0
2022-05-16,55.0,55.0,55.0,55.0,45600.0
2022-05-17,55.0,55.0,55.0,55.0,20400.0
2022-05-19,57.0,57.0,55.5,55.5,31200.0
2022-05-20,57.25,58.0,57.25,58.0,64800.0
2022-05-23,60.75,62.25,60.75,62.25,49200.0
2022-05-24,60.1,60.1,60.1,60.1,58800.0
2022-05-25,60.3,63.0,60.3,62.8,52800.0
2022-05-26,63.75,63.75,63.75,63.75,25200.0
2022-05-27,62.13,67.5,62.13,65.5,45600.0
2022-05-30,78.6,78.6,78.6,78.6,2400.0
2022-05-31,90.0,94.3,90.0,94.3,9600.0
2022-06-01,99.5,103.73,98.25,98.25,12000.0
2022-06-02,102.0,102.0,100.5,100.5,2400.0
2022-06-03,102.5,103.0,102.5,103.0,2400.0
2022-06-06,103.0,103.0,103.0,103.0,1200.0
2022-06-07,110.0,110.0,110.0,110.0,1200.0
2022-06-08,110.5,110.5,110.5,110.5,1200.0
2022-06-09,109.0,109.0,109.0,109.0,3600.0
2022-06-10,110.0,110.0,110.0,110.0,7200.0
2022-06-15,107.5,107.5,107.5,107.5,1200.0
2022-06-16,110.0,112.5,110.0,112.5,2400.0
2022-07-01,108.5,108.5,108.5,108.5,1200.0
2022-07-08,115.0,118.0,115.0,118.0,13200.0
2022-07-12,125.0,125.0,125.0,125.0,4800.0
2022-07-21,121.0,124.0,121.0,122.0,14400.0
2022-07-22,120.0,120.0,120.0,120.0,4800.0
2022-07-27,110.0,110.0,110.0,110.0,2400.0
2022-07-29,119.0,120.5,119.0,120.5,16800.0
2022-08-01,131.0,131.5,120.0,120.5,9600.0
2022-08-12,115.0,126.0,115.0,126.0,9600.0
2022-08-16,121.1,121.1,121.0,121.0,7200.0
2022-08-24,126.5,126.5,126.5,126.5,2400.0
2022-08-25,120.2,120.2,120.2,120.2,2400.0
2022-08-26,120.0,120.6,120.0,120.6,79200.0
2022-08-29,121.0,121.5,121.0,121.5,76800.0
2022-08-30,122.0,127.0,118.0,122.35,28800.0
2022-09-01,123.0,126.0,123.0,123.5,26400.0
2022-09-02,126.5,126.5,122.0,122.0,4800.0
2022-09-05,123.0,123.5,122.0,123.25,40800.0
2022-09-06,125.0,127.0,125.0,126.0,9600.0
2022-09-07,125.0,125.0,125.0,125.0,4800.0
2022-09-09,125.0,125.0,125.0,125.0,2400.0
2022-09-13,131.0,131.0,131.0,131.0,2400.0
2022-09-14,125.0,131.0,125.0,126.0,16800.0
2022-09-15,131.8,131.8,131.8,131.8,2400.0
2022-09-16,125.55,131.0,125.55,131.0,4800.0
2022-09-19,136.85,136.95,131.05,136.95,9600.0
2022-09-20,130.55,139.95,130.55,139.95,4800.0
2022-09-21,133.9,133.9,133.0,133.0,4800.0
2022-09-22,128.65,128.65,128.65,128.65,2400.0
2022-09-26,122.5,122.5,122.5,122.5,4800.0
2022-09-30,120.0,120.0,119.0,119.0,4800.0
2022-10-24,124.2,124.2,124.2,124.2,26400.0
2022-10-25,130.25,130.4,130.25,130.4,4800.0
2022-10-31,136.5,136.9,136.5,136.9,7200.0
2022-11-01,140.0,141.0,136.0,141.0,14400.0
2022-11-02,140.9,141.5,140.3,141.0,16800.0
2022-11-03,148.05,148.05,141.0,141.7,67200.0
2022-11-04,145.0,145.0,137.5,137.5,7200.0
2022-11-07,134.6,138.45,134.55,138.45,31200.0
2022-11-09,142.0,142.0,142.0,142.0,2400.0
2022-11-10,141.5,142.5,138.05,141.6,14400.0
2022-11-11,143.0,143.0,140.0,142.95,14400.0
2022-11-14,150.0,150.0,141.15,144.5,40800.0
2022-11-15,143.0,145.0,142.05,142.05,16800.0
2022-11-17,138.95,138.95,138.05,138.05,7200.0
2022-11-18,144.8,144.8,144.0,144.1,26400.0
2022-11-21,145.0,145.0,145.0,145.0,4800.0
2022-11-24,140.0,140.0,140.0,140.0,2400.0
2022-11-25,138.5,138.5,138.5,138.5,2400.0
2022-11-28,140.0,145.35,140.0,145.35,67200.0
2022-11-29,146.0,146.0,145.35,145.35,4800.0
2022-11-30,141.05,141.05,141.0,141.0,4800.0
2022-12-01,140.0,140.05,140.0,140.0,7200.0
2022-12-02,139.5,140.0,139.5,140.0,4800.0
2022-12-05,140.0,143.0,140.0,142.0,7200.0
2022-12-06,140.05,141.95,140.05,141.95,4800.0
2022-12-07,140.0,143.0,140.0,143.0,7200.0
2022-12-08,140.0,145.0,140.0,145.0,4800.0
2022-12-09,145.0,146.0,142.0,144.0,60000.0
2022-12-12,143.1,151.2,143.1,149.25,62400.0
2022-12-13,149.9,155.95,146.5,146.5,84000.0
2022-12-14,153.75,153.75,140.5,150.0,16800.0
2022-12-15,151.0,151.45,151.0,151.25,16800.0
2022-12-16,151.95,152.25,150.0,152.25,24000.0
2022-12-19,150.5,152.5,150.5,152.0,7200.0
2022-12-20,152.95,152.95,152.95,152.95,2400.0
2022-12-21,153.0,153.0,145.35,146.0,19200.0
2022-12-23,140.55,141.0,138.7,141.0,57600.0
2022-12-26,134.0,140.05,134.0,140.05,7200.0
2022-12-27,133.05,133.05,133.05,133.05,2400.0
2022-12-28,127.05,133.7,127.05,132.85,12000.0
2022-12-29,126.35,139.4,126.35,137.0,16800.0
2023-01-02,136.0,136.0,136.0,136.0,2400.0
2023-01-06,129.25,134.0,129.2,134.0,7200.0
2023-01-09,138.95,140.6,138.0,140.6,12000.0
2023-01-10,141.0,146.0,140.0,145.5,24000.0
2023-01-11,147.0,152.75,147.0,152.6,38400.0
2023-01-12,160.2,160.2,159.0,160.0,19200.0
2023-01-13,168.0,168.0,168.0,168.0,9600.0
2023-01-16,176.4,176.4,176.4,176.4,12000.0
2023-01-17,185.2,185.2,167.6,167.6,254400.0
2023-01-18,162.25,162.25,159.5,162.2,9600.0
2023-01-20,160.0,160.0,160.0,160.0,4800.0
2023-01-24,162.0,168.0,162.0,168.0,7200.0
2023-01-25,176.4,176.4,170.0,176.0,21600.0
2023-01-31,170.0,170.0,170.0,170.0,2400.0
2023-02-01,162.0,162.0,161.5,161.5,4800.0
2023-02-08,160.0,164.0,155.0,158.0,14400.0
2023-02-09,151.0,151.0,151.0,151.0,2400.0
2023-02-10,158.55,158.55,158.55,158.55,2400.0
