date,open,high,low,close,volume
2021-05-18,4.25,4.25,4.04,4.04,6400.0
2021-06-10,4.06,4.06,4.06,4.06,1600.0
2021-06-14,4.19,4.27,4.19,4.27,164800.0
2021-06-16,4.48,4.48,4.48,4.48,1600.0
2021-06-17,4.7,4.7,4.7,4.7,3200.0
2021-06-18,4.93,4.93,4.93,4.93,1600.0
2021-06-21,5.18,5.18,5.18,5.18,9600.0
2021-06-22,5.43,5.43,5.43,5.43,38400.0
2021-06-23,5.7,5.7,5.7,5.7,8000.0
2021-06-24,5.99,5.99,5.99,5.99,8000.0
2021-06-25,6.28,6.28,6.25,6.28,16000.0
2021-06-28,6.6,6.6,6.6,6.6,1600.0
2021-06-29,6.93,6.93,6.93,6.93,3200.0
2021-06-30,6.93,6.93,6.93,6.93,1600.0
2021-07-01,7.27,7.27,7.27,7.27,1600.0
2021-07-02,6.95,7.62,6.95,7.62,6400.0
2021-07-05,7.81,7.81,7.81,7.81,3200.0
2021-07-06,7.44,7.44,7.44,7.44,3200.0
2021-07-08,7.81,7.81,7.81,7.81,1600.0
2021-07-09,7.88,7.88,7.88,7.88,1600.0
2021-07-12,7.5,7.56,7.48,7.56,4800.0
2021-07-15,7.19,7.19,7.19,7.19,3200.0
2021-07-19,6.83,6.83,6.83,6.83,1600.0
2021-07-20,6.49,6.49,6.49,6.49,1600.0
2021-07-22,6.17,6.17,6.17,6.17,3200.0
2021-07-23,5.86,5.86,5.86,5.86,1600.0
2021-07-26,5.58,5.75,5.58,5.75,3200.0
2021-07-28,6.04,6.04,6.04,6.04,1600.0
2021-07-29,6.34,6.34,6.34,6.34,1600.0
2021-08-04,6.65,6.65,6.65,6.65,1600.0
2021-08-10,6.32,6.32,6.32,6.32,1600.0
2021-08-23,6.63,6.64,6.63,6.64,3200.0
2021-08-24,6.94,6.97,6.94,6.97,3200.0
2021-08-26,6.88,6.88,6.62,6.62,6400.0
2021-08-27,6.63,6.63,6.63,6.63,3200.0
2021-09-06,6.96,6.96,6.96,6.96,1600.0
2021-09-07,7.3,7.3,7.3,7.3,1600.0
2021-09-09,7.66,7.66,7.66,7.66,3200.0
2021-09-13,8.03,8.04,7.56,7.56,4800.0
2021-09-14,7.94,7.94,7.94,7.94,4800.0
2021-09-15,8.34,8.34,8.34,8.34,1600.0
2021-09-17,7.94,8.02,7.94,8.02,3200.0
2021-09-20,8.39,8.41,8.39,8.41,3200.0
2021-09-21,8.13,8.13,8.13,8.13,3200.0
2021-09-22,8.53,8.53,8.53,8.53,1600.0
2021-10-01,8.96,8.96,8.96,8.96,1600.0
2021-10-04,9.4,9.4,9.4,9.4,1600.0
2021-10-05,9.87,9.87,9.19,9.19,6400.0
2021-10-07,9.65,9.65,9.65,9.65,2560.0
2021-10-08,10.13,10.13,10.13,10.13,2560.0
2021-10-11,10.63,10.63,10.63,10.63,2560.0
2021-10-12,11.16,11.16,11.16,11.16,2560.0
2021-10-18,11.72,11.72,11.72,11.72,2560.0
2021-10-19,11.3,11.3,11.3,11.3,2560.0
2021-10-22,11.7,11.87,11.7,11.87,7680.0
2021-11-02,11.8,11.8,11.8,11.8,2560.0
2021-11-04,12.0,12.0,12.0,12.0,2560.0
2021-11-16,12.6,12.6,12.6,12.6,2560.0
2021-11-18,12.0,12.25,12.0,12.25,5120.0
2021-11-26,12.35,12.35,12.35,12.35,2560.0
2021-12-14,11.74,11.74,11.74,11.74,2560.0
2021-12-20,11.15,11.15,11.15,11.15,2560.0
2021-12-21,10.6,10.6,10.6,10.6,2560.0
2022-01-10,11.12,11.12,11.12,11.12,2560.0
2022-01-11,11.11,11.11,11.11,11.11,2560.0
2022-01-14,11.67,11.67,11.67,11.67,2560.0
2022-01-17,12.25,12.25,12.25,12.25,100.0
2022-01-18,12.86,12.86,12.86,12.86,50.0
2022-01-19,13.5,13.5,13.5,13.5,560.0
2022-01-20,14.17,14.17,14.17,14.17,50.0
2022-01-21,14.87,14.87,14.87,14.87,50.0
2022-01-24,15.61,15.61,14.86,15.61,40398.0
2022-01-25,16.39,16.39,16.39,16.39,500.0
2022-01-27,17.21,17.21,17.21,17.21,1085.0
2022-01-28,18.07,18.07,18.07,18.07,1848.0
2022-01-31,18.97,18.97,17.3,18.97,31135.0
2022-02-01,19.91,19.91,18.33,19.91,15472.0
2022-02-02,20.84,20.91,19.69,20.91,11329.0
2022-02-03,21.95,21.95,21.35,21.95,5091.0
2022-02-04,23.05,23.05,20.86,20.86,23764.0
2022-02-07,19.82,20.65,19.82,19.82,3025.0
2022-02-08,19.6,19.6,18.83,19.01,7531.0
2022-02-09,18.23,19.5,18.06,18.47,6275.0
2022-02-10,17.56,19.35,17.56,19.3,818.0
2022-02-11,20.0,20.1,18.35,19.7,5471.0
2022-02-14,20.6,20.68,18.81,19.83,7285.0
2022-02-15,19.07,20.5,19.05,19.08,674.0
2022-02-16,19.08,19.89,18.6,19.39,301.0
2022-02-17,18.45,18.45,18.43,18.43,470.0
2022-02-18,19.0,19.0,17.51,17.51,2405.0
2022-02-21,17.51,18.35,16.71,18.14,246.0
2022-02-22,17.23,18.2,17.23,18.08,577.0
2022-02-23,18.85,18.85,17.18,18.4,3010.0
2022-02-24,17.48,19.05,17.48,17.48,881.0
2022-02-25,16.61,18.3,16.61,17.99,244.0
2022-02-28,18.5,18.5,17.1,17.16,1392.0
