date,open,high,low,close,volume
2021-05-12,73.55,73.8,72.3,72.9,145304.0
2021-05-14,73.9,73.9,72.5,72.65,76620.0
2021-05-17,73.0,73.3,72.0,72.15,94985.0
2021-05-18,73.2,73.2,72.0,72.1,99230.0
2021-05-19,72.15,72.4,71.8,72.1,116357.0
2021-05-20,72.15,75.5,71.95,73.3,403117.0
2021-05-21,73.9,75.5,73.6,74.4,199991.0
2021-05-24,74.6,75.5,73.6,74.8,178535.0
2021-05-25,75.45,75.5,71.7,72.95,298250.0
2021-05-26,73.15,73.5,71.7,72.3,280368.0
2021-05-27,72.9,73.55,72.35,72.85,131407.0
2021-05-28,73.4,73.9,73.05,73.1,162281.0
2021-05-31,73.5,73.8,71.55,71.85,330662.0
2021-06-01,72.6,72.9,70.6,70.95,244259.0
2021-06-02,71.4,71.4,70.15,70.8,110613.0
2021-06-03,71.5,72.4,71.15,71.75,106796.0
2021-06-04,72.45,72.45,70.9,71.1,144127.0
2021-06-07,71.5,71.9,70.9,71.05,214058.0
2021-06-08,71.45,77.2,71.3,76.4,1509580.0
2021-06-09,79.0,84.45,78.0,81.25,3237328.0
2021-06-10,83.2,95.6,81.4,92.0,8145798.0
2021-06-11,94.8,95.0,88.5,89.85,1547086.0
2021-06-14,90.25,90.25,82.5,85.95,770822.0
2021-06-15,86.3,89.2,85.75,87.1,591098.0
2021-06-16,87.2,88.9,84.0,86.75,661841.0
2021-06-17,86.4,86.9,83.35,84.3,443464.0
2021-06-18,85.0,85.7,78.55,81.8,473701.0
2021-06-21,78.25,85.45,78.25,83.1,1032387.0
2021-06-22,83.5,85.8,82.4,83.3,1082089.0
2021-06-23,84.75,86.45,81.4,83.45,1100342.0
2021-06-24,83.55,84.9,81.6,81.9,388793.0
2021-06-25,82.2,83.4,80.85,83.0,371995.0
2021-06-28,84.1,92.0,84.1,90.9,2133632.0
2021-06-29,90.8,91.4,87.0,87.3,402353.0
2021-06-30,87.85,94.55,86.8,90.9,2037229.0
2021-07-01,91.7,99.5,91.6,95.0,4806209.0
2021-07-02,95.35,101.7,94.0,99.4,4487433.0
2021-07-05,100.5,106.9,99.7,101.0,4119414.0
2021-07-06,101.3,102.35,94.5,95.4,1250478.0
2021-07-07,95.8,98.6,95.1,96.7,1261737.0
2021-07-08,96.8,97.5,93.3,94.5,1638055.0
2021-07-09,94.5,96.4,94.0,94.25,758760.0
2021-07-12,95.05,96.2,93.5,93.8,557328.0
2021-07-13,94.6,95.05,92.05,92.65,603999.0
2021-07-14,93.0,96.75,92.05,95.25,1116593.0
2021-07-15,95.4,99.5,94.25,96.0,1689566.0
2021-07-16,96.4,98.1,95.15,95.75,886986.0
2021-07-19,96.3,99.25,93.75,94.8,1020697.0
