open,high,low,close,volume,timestamp
73.44,73.44,73.44,73.44,10120.0,1724730300.0
73.44,73.44,73.44,73.44,2420.0,1724730600.0
73.44,73.44,73.44,73.44,1194.0,1724730900.0
73.44,73.44,73.44,73.44,1208.0,1724731200.0
73.44,73.44,73.44,73.44,751.0,1724731500.0
73.44,73.44,73.44,73.44,470.0,1724731800.0
73.44,73.44,73.44,73.44,219.0,1724732100.0
73.44,73.44,73.44,73.44,57.0,1724732400.0
73.44,81.17,73.44,80.03,136135.0,1724732700.0
81.1,81.17,80.08,80.2,13798.0,1724733000.0
80.09,81.17,79.6,81.17,51205.0,1724733300.0
81.16,81.17,81.03,81.17,5073.0,1724733600.0
81.17,81.17,81.07,81.17,2764.0,1724733900.0
81.17,81.17,80.99,81.17,163958.0,1724734200.0
81.17,81.17,80.21,81.17,5842.0,1724734500.0
81.16,81.17,81.16,81.17,5472.0,1724734800.0
81.17,81.17,80.61,81.15,1837.0,1724735100.0
81.15,81.17,80.7,81.17,3573.0,1724735400.0
81.17,81.17,80.8,81.17,2248.0,1724735700.0
81.17,81.17,80.81,81.0,4245.0,1724736000.0
81.0,81.17,80.86,81.17,3113.0,1724736300.0
81.17,81.17,81.07,81.17,11992.0,1724736600.0
81.17,81.17,81.17,81.17,1186.0,1724736900.0
81.17,81.17,81.17,81.17,2046.0,1724737200.0
81.17,81.17,81.0,81.0,7162.0,1724737500.0
80.7,81.17,80.7,81.16,3260.0,1724737800.0
80.82,81.15,80.76,80.78,879.0,1724738100.0
80.8,80.8,79.99,80.7,6317.0,1724738400.0
80.7,81.17,80.11,81.17,12511.0,1724738700.0
81.16,81.17,81.1,81.1,2991.0,1724739000.0
81.17,81.17,80.36,81.0,4381.0,1724739300.0
81.0,81.16,80.65,81.15,1117.0,1724739600.0
81.17,81.17,80.7,81.17,16493.0,1724739900.0
81.17,81.17,80.85,81.17,1381.0,1724740200.0
80.87,81.17,80.87,81.0,3847.0,1724740500.0
81.0,81.17,81.0,81.0,1467.0,1724740800.0
81.0,81.17,80.7,81.17,5158.0,1724741100.0
80.72,81.17,80.72,81.17,3697.0,1724741400.0
81.17,81.17,81.0,81.17,2765.0,1724741700.0
81.17,81.17,80.5,81.14,5233.0,1724742000.0
80.4,81.17,80.4,81.17,2285.0,1724742300.0
81.17,81.17,80.0,81.1,2922.0,1724742600.0
81.09,81.09,80.55,80.6,502.0,1724742900.0
80.75,81.09,80.68,81.08,1012.0,1724743200.0
81.08,81.17,81.0,81.17,5793.0,1724743500.0
81.17,81.17,81.02,81.02,155.0,1724743800.0
81.17,81.17,81.02,81.17,2056.0,1724744100.0
81.17,81.17,81.02,81.15,1148.0,1724744400.0
81.02,81.17,81.02,81.17,3033.0,1724744700.0
81.17,81.17,80.6,81.17,1303.0,1724745000.0
81.17,81.17,81.17,81.17,1101.0,1724745300.0
81.17,81.17,80.77,81.17,396.0,1724745600.0
81.17,81.17,80.81,81.17,224.0,1724745900.0
81.17,81.17,81.17,81.17,479.0,1724746200.0
81.17,81.17,81.17,81.17,1000.0,1724746500.0
81.17,81.17,80.95,81.17,4331.0,1724746800.0
81.17,81.17,81.17,81.17,1933.0,1724747100.0
81.17,81.17,81.17,81.17,131.0,1724747400.0
81.17,81.17,81.0,81.17,2174.0,1724747700.0
81.17,81.17,80.95,81.01,1738.0,1724748000.0
81.17,81.17,81.0,81.1,24113.0,1724748300.0
81.09,81.09,80.95,80.95,590.0,1724748600.0
80.95,81.0,80.95,81.0,1413.0,1724748900.0
81.0,81.17,80.75,80.75,3584.0,1724749200.0
81.17,81.17,81.17,81.17,1101.0,1724749500.0
81.17,81.17,81.17,81.17,1012.0,1724749800.0
81.17,81.17,80.75,80.75,2783.0,1724750100.0
80.5,81.17,80.5,81.16,1625.0,1724750400.0
81.16,81.17,81.0,81.0,3045.0,1724750700.0
81.16,81.16,81.16,81.16,292.0,1724751000.0
81.17,81.17,81.0,81.17,2682.0,1724751300.0
81.17,81.17,81.0,81.17,3175.0,1724751600.0
81.17,81.17,81.0,81.01,5935.0,1724751900.0
81.15,81.17,81.0,81.17,287.0,1724752200.0
81.17,81.17,81.15,81.17,65079.0,1724752500.0
