open,high,low,close,volume,timestamp
46.6,48.4,46.0,48.0,44294.0,1671594300.0
48.15,48.7,46.4,48.6,31597.0,1671594600.0
48.6,48.6,46.7,46.7,19139.0,1671594900.0
46.65,47.35,46.2,46.25,15702.0,1671595200.0
46.1,46.2,44.5,44.85,52271.0,1671595500.0
45.0,46.2,45.0,46.05,21591.0,1671595800.0
46.15,46.4,45.6,45.6,4816.0,1671596100.0
45.7,45.95,45.25,45.35,5008.0,1671596400.0
45.35,45.9,45.35,45.85,6530.0,1671596700.0
45.85,45.85,45.55,45.85,2483.0,1671597000.0
45.85,46.4,45.35,45.65,10715.0,1671597300.0
45.6,46.3,45.6,46.0,4089.0,1671597600.0
45.95,46.1,45.8,46.0,6887.0,1671597900.0
45.8,45.8,45.35,45.75,3656.0,1671598200.0
45.75,45.75,45.45,45.45,6181.0,1671598500.0
45.6,45.6,45.0,45.4,4081.0,1671598800.0
45.0,45.35,44.5,44.9,19305.0,1671599100.0
45.0,45.0,44.6,44.65,4980.0,1671599400.0
44.65,44.9,44.6,44.6,7986.0,1671599700.0
44.9,44.9,44.6,44.9,2338.0,1671600000.0
44.75,44.95,44.75,44.9,2456.0,1671600300.0
44.9,44.9,44.6,44.65,3870.0,1671600600.0
44.65,45.4,44.65,45.25,5277.0,1671600900.0
45.4,45.65,45.25,45.3,4842.0,1671601200.0
45.3,45.55,45.1,45.55,1294.0,1671601500.0
45.55,45.55,45.1,45.15,1594.0,1671601800.0
45.15,45.35,45.1,45.35,467.0,1671602100.0
45.35,45.8,45.15,45.2,2214.0,1671602400.0
45.2,45.65,45.2,45.3,293.0,1671602700.0
45.3,45.4,45.15,45.25,4956.0,1671603000.0
45.25,45.4,45.25,45.4,476.0,1671603300.0
45.4,46.1,45.35,46.0,12228.0,1671603600.0
46.0,46.1,45.9,45.9,8265.0,1671603900.0
45.6,45.9,45.4,45.9,4177.0,1671604200.0
45.9,45.9,45.5,45.55,1009.0,1671604500.0
45.85,46.0,45.75,45.9,1440.0,1671604800.0
45.9,46.0,45.55,45.65,2150.0,1671605100.0
45.65,45.65,45.5,45.5,991.0,1671605400.0
45.4,45.45,45.35,45.35,1629.0,1671605700.0
45.35,45.35,44.9,44.95,5056.0,1671606000.0
44.95,45.0,44.85,45.0,1745.0,1671606300.0
45.0,45.0,44.7,44.75,2740.0,1671606600.0
44.6,44.75,44.5,44.5,14177.0,1671606900.0
44.55,44.55,44.5,44.5,2138.0,1671607200.0
44.5,44.55,44.5,44.55,3258.0,1671607500.0
44.75,44.8,44.5,44.8,4337.0,1671607800.0
44.6,44.75,44.6,44.75,759.0,1671608100.0
44.65,44.95,44.65,44.95,1092.0,1671608400.0
44.8,44.8,44.5,44.7,1478.0,1671608700.0
44.7,44.7,44.55,44.6,126.0,1671609000.0
44.55,44.75,44.5,44.7,2106.0,1671609300.0
44.55,44.8,44.5,44.5,6486.0,1671609600.0
44.65,44.65,44.55,44.65,153.0,1671609900.0
44.65,44.65,44.55,44.55,462.0,1671610200.0
44.55,44.55,44.5,44.5,4163.0,1671610500.0
44.5,44.5,44.5,44.5,67.0,1671610800.0
44.5,44.5,44.5,44.5,19.0,1671611100.0
44.5,44.5,44.5,44.5,14.0,1671611400.0
44.5,44.5,44.5,44.5,1.0,1671611700.0
44.5,44.5,44.5,44.5,562.0,1671612000.0
44.5,44.5,44.5,44.5,245.0,1671612300.0
44.5,44.5,44.5,44.5,279.0,1671612600.0
44.5,44.5,44.5,44.5,227.0,1671612900.0
44.5,44.5,44.5,44.5,254.0,1671613200.0
44.5,44.5,44.5,44.5,4019.0,1671613500.0
44.5,44.5,44.5,44.5,447.0,1671613800.0
44.5,44.5,44.5,44.5,259.0,1671614100.0
44.5,44.5,44.5,44.5,711.0,1671614400.0
44.5,44.5,44.5,44.5,264.0,1671614700.0
44.5,44.5,44.5,44.5,200.0,1671615000.0
44.5,44.5,44.5,44.5,547.0,1671615300.0
44.5,44.5,44.5,44.5,2043.0,1671615600.0
44.5,44.5,44.5,44.5,35.0,1671615900.0
44.5,44.5,44.5,44.5,1700.0,1671616200.0
44.5,44.5,44.5,44.5,360.0,1671616500.0
