open,high,low,close,volume,timestamp
84.5,84.5,81.6,82.4,97000.0,1644205500.0
82.4,83.7,82.3,83.3,35934.0,1644205800.0
83.4,83.4,82.95,83.15,23148.0,1644206100.0
83.1,83.25,82.95,83.2,19586.0,1644206400.0
83.2,83.2,82.4,82.5,97972.0,1644206700.0
82.5,82.8,82.3,82.45,27262.0,1644207000.0
82.45,82.7,82.2,82.6,23052.0,1644207300.0
82.45,82.8,82.1,82.65,31250.0,1644207600.0
82.5,82.65,82.05,82.25,17772.0,1644207900.0
82.35,82.45,81.9,82.0,20758.0,1644208200.0
82.0,82.45,81.9,82.25,12418.0,1644208500.0
82.45,82.45,81.9,82.05,17054.0,1644208800.0
82.15,82.4,82.0,82.4,3622.0,1644209100.0
82.3,82.45,82.2,82.2,3552.0,1644209400.0
82.25,82.45,82.0,82.0,14002.0,1644209700.0
82.0,82.45,82.0,82.45,2362.0,1644210000.0
82.4,82.5,82.3,82.45,4698.0,1644210300.0
82.4,82.5,82.35,82.45,5080.0,1644210600.0
82.45,82.6,82.25,82.45,3766.0,1644210900.0
82.5,82.65,82.1,82.2,8296.0,1644211200.0
82.15,82.55,82.1,82.4,9346.0,1644211500.0
82.4,82.6,82.25,82.5,13348.0,1644211800.0
82.3,82.65,82.3,82.3,4558.0,1644212100.0
82.35,82.45,82.3,82.3,666.0,1644212400.0
82.3,82.4,82.3,82.4,2326.0,1644212700.0
82.4,82.4,82.3,82.3,1168.0,1644213000.0
82.4,82.6,82.35,82.5,6604.0,1644213300.0
82.5,82.6,82.4,82.5,5000.0,1644213600.0
82.45,82.6,82.35,82.35,11726.0,1644213900.0
82.3,82.4,82.25,82.3,2278.0,1644214200.0
82.4,82.4,82.25,82.3,1052.0,1644214500.0
82.4,82.4,82.3,82.4,752.0,1644214800.0
82.3,82.4,82.2,82.25,2602.0,1644215100.0
82.4,82.4,82.25,82.4,1492.0,1644215400.0
82.25,82.4,82.25,82.4,1170.0,1644215700.0
82.25,82.4,82.15,82.25,1228.0,1644216000.0
82.2,82.4,82.2,82.3,4130.0,1644216300.0
82.3,82.45,82.0,82.3,13852.0,1644216600.0
82.3,82.45,82.15,82.3,2202.0,1644216900.0
82.45,82.5,82.3,82.3,1444.0,1644217200.0
82.4,82.45,82.3,82.3,362.0,1644217500.0
82.3,82.65,82.3,82.6,3140.0,1644217800.0
82.5,82.5,82.4,82.4,2284.0,1644218100.0
82.35,82.5,82.35,82.35,1040.0,1644218400.0
82.35,82.5,82.3,82.5,1828.0,1644218700.0
82.5,82.65,82.5,82.6,2684.0,1644219000.0
82.3,82.5,82.3,82.4,8690.0,1644219300.0
82.4,82.5,82.4,82.45,1890.0,1644219600.0
82.5,82.5,82.15,82.15,2752.0,1644219900.0
82.2,82.2,81.45,81.45,37294.0,1644220200.0
81.45,81.65,81.3,81.6,5644.0,1644220500.0
81.6,81.65,81.4,81.55,3174.0,1644220800.0
81.6,81.6,81.25,81.25,6168.0,1644221100.0
81.25,81.45,81.25,81.4,3156.0,1644221400.0
81.4,81.6,81.3,81.3,3894.0,1644221700.0
81.25,81.5,81.0,81.3,8256.0,1644222000.0
81.25,81.45,81.1,81.4,2810.0,1644222300.0
81.35,81.45,80.9,81.25,14510.0,1644222600.0
81.4,81.5,81.4,81.45,1158.0,1644222900.0
81.3,81.5,81.3,81.5,8888.0,1644223200.0
81.6,81.7,81.35,81.6,6400.0,1644223500.0
81.6,81.7,81.55,81.65,1196.0,1644223800.0
81.6,81.7,81.5,81.7,2356.0,1644224100.0
81.7,81.95,81.6,81.65,1924.0,1644224400.0
81.65,81.7,81.5,81.65,2220.0,1644224700.0
81.75,81.9,81.7,81.75,880.0,1644225000.0
81.75,81.85,81.65,81.85,724.0,1644225300.0
81.85,81.85,81.7,81.8,2070.0,1644225600.0
81.7,81.8,81.3,81.65,9986.0,1644225900.0
81.8,81.95,81.6,81.75,2868.0,1644226200.0
81.75,82.0,81.45,81.8,7130.0,1644226500.0
81.85,81.95,81.5,81.8,4584.0,1644226800.0
81.7,81.8,81.3,81.5,7328.0,1644227100.0
81.65,81.8,81.25,81.4,15716.0,1644227400.0
81.45,81.5,81.3,81.5,8536.0,1644227700.0
81.5,81.5,81.5,81.5,0.0,1644228000.0
