open,high,low,close,volume,timestamp
14.14,14.14,14.14,14.14,12042.0,1766029500.0
14.58,14.88,14.58,14.88,26.0,1766029800.0
14.88,14.88,14.58,14.58,131.0,1766030100.0
14.58,14.58,14.14,14.14,505.0,1766030400.0
14.14,14.14,14.14,14.14,0.0,1766030700.0
14.14,14.16,14.14,14.16,200.0,1766031000.0
14.16,14.4,14.16,14.4,107.0,1766031300.0
14.16,14.8,14.16,14.8,1261.0,1766031600.0
14.8,14.8,14.8,14.8,190.0,1766031900.0
14.21,14.8,14.21,14.21,4721.0,1766032200.0
14.21,14.21,14.16,14.16,28.0,1766032500.0
14.16,14.16,14.16,14.16,0.0,1766032800.0
14.16,14.8,14.16,14.8,100.0,1766033100.0
14.8,14.8,14.18,14.18,600.0,1766033400.0
14.18,14.19,14.18,14.19,1050.0,1766033700.0
14.19,14.8,14.19,14.8,100.0,1766034000.0
14.8,14.8,14.8,14.8,0.0,1766034300.0
14.8,14.8,14.8,14.8,0.0,1766034600.0
14.8,14.8,14.8,14.8,0.0,1766034900.0
14.8,14.8,14.8,14.8,0.0,1766035200.0
14.8,14.8,14.8,14.8,0.0,1766035500.0
14.8,14.8,14.8,14.8,0.0,1766035800.0
14.8,14.8,14.8,14.8,500.0,1766036100.0
14.8,14.8,14.79,14.79,10.0,1766036400.0
14.79,14.79,14.79,14.79,0.0,1766036700.0
14.79,14.88,14.79,14.88,50.0,1766037000.0
14.88,14.88,14.88,14.88,150.0,1766037300.0
14.88,14.88,14.88,14.88,250.0,1766037600.0
14.88,14.88,14.88,14.88,0.0,1766037900.0
14.88,14.88,14.88,14.88,0.0,1766038200.0
14.88,14.88,14.88,14.88,0.0,1766038500.0
14.88,14.88,14.25,14.25,100.0,1766038800.0
14.25,14.25,14.25,14.25,0.0,1766039100.0
14.25,14.88,14.25,14.88,8.0,1766039400.0
14.88,14.88,14.88,14.88,0.0,1766039700.0
14.88,14.88,14.88,14.88,0.0,1766040000.0
14.88,14.88,14.88,14.88,0.0,1766040300.0
14.88,14.88,14.27,14.27,70.0,1766040600.0
14.27,14.27,14.27,14.27,0.0,1766040900.0
14.27,14.27,14.27,14.27,0.0,1766041200.0
14.27,14.27,14.27,14.27,0.0,1766041500.0
14.27,14.27,14.27,14.27,0.0,1766041800.0
14.27,14.86,14.27,14.86,50.0,1766042100.0
14.86,14.86,14.86,14.86,0.0,1766042400.0
14.86,14.86,14.86,14.86,0.0,1766042700.0
14.86,14.86,14.86,14.86,0.0,1766043000.0
14.86,14.86,14.86,14.86,0.0,1766043300.0
14.86,14.86,14.86,14.86,0.0,1766043600.0
14.86,14.86,14.84,14.84,1000.0,1766043900.0
14.84,14.84,14.27,14.27,50.0,1766044200.0
14.27,14.27,14.27,14.27,100.0,1766044500.0
14.27,14.27,14.27,14.27,0.0,1766044800.0
14.27,14.27,14.27,14.27,0.0,1766045100.0
14.27,14.3,14.27,14.3,29.0,1766045400.0
14.3,14.3,14.3,14.3,0.0,1766045700.0
14.3,14.84,14.3,14.84,595.0,1766046000.0
14.84,14.84,14.84,14.84,0.0,1766046300.0
14.84,14.84,14.84,14.84,0.0,1766046600.0
14.84,14.84,14.84,14.84,0.0,1766046900.0
14.84,14.84,14.84,14.84,0.0,1766047200.0
14.79,14.79,14.79,14.79,13.0,1766047500.0
14.79,14.79,14.79,14.79,0.0,1766047800.0
14.79,14.79,14.14,14.14,14976.0,1766048100.0
14.14,14.14,14.14,14.14,1820.0,1766048400.0
14.14,14.14,14.14,14.14,0.0,1766048700.0
14.14,14.14,14.14,14.14,180.0,1766049000.0
14.14,14.14,14.14,14.14,200.0,1766049300.0
14.14,14.14,14.14,14.14,0.0,1766049600.0
14.14,14.14,14.14,14.14,0.0,1766049900.0
14.14,14.14,14.14,14.14,0.0,1766050200.0
14.14,14.14,14.14,14.14,0.0,1766050500.0
14.14,14.14,14.14,14.14,620.0,1766050800.0
14.14,14.14,14.14,14.14,102.0,1766051100.0
14.14,14.14,14.14,14.14,180.0,1766051400.0
14.14,14.79,14.14,14.79,5.0,1766051700.0
