open,high,low,close,volume,timestamp
2.35,2.35,2.35,2.35,77.0,1655351100.0
2.4,2.45,2.4,2.45,56.0,1655351400.0
2.45,2.45,2.35,2.35,80.0,1655351700.0
2.35,2.35,2.35,2.35,0.0,1655352000.0
2.35,2.35,2.35,2.35,0.0,1655352300.0
2.35,2.45,2.35,2.45,1.0,1655352600.0
2.45,2.45,2.45,2.45,15000.0,1655352900.0
2.45,2.45,2.45,2.45,894.0,1655353200.0
2.45,2.45,2.45,2.45,0.0,1655353500.0
2.45,2.45,2.45,2.45,30.0,1655353800.0
2.45,2.45,2.45,2.45,200.0,1655354100.0
2.45,2.45,2.45,2.45,0.0,1655354400.0
2.45,2.45,2.45,2.45,0.0,1655354700.0
2.45,2.45,2.45,2.45,0.0,1655355000.0
2.45,2.45,2.45,2.45,0.0,1655355300.0
2.45,2.45,2.35,2.35,8615.0,1655355600.0
2.35,2.45,2.3,2.45,7923.0,1655355900.0
2.45,2.45,2.45,2.45,505.0,1655356200.0
2.45,2.45,2.45,2.45,0.0,1655356500.0
2.45,2.45,2.45,2.45,0.0,1655356800.0
2.45,2.45,2.45,2.45,0.0,1655357100.0
2.45,2.45,2.45,2.45,0.0,1655357400.0
2.45,2.45,2.45,2.45,14.0,1655357700.0
2.45,2.45,2.45,2.45,2002.0,1655358000.0
2.45,2.45,2.45,2.45,0.0,1655358300.0
2.45,2.45,2.35,2.35,5.0,1655358600.0
2.35,2.35,2.35,2.35,0.0,1655358900.0
2.35,2.45,2.35,2.45,8000.0,1655359200.0
2.45,2.45,2.45,2.45,0.0,1655359500.0
2.45,2.45,2.45,2.45,0.0,1655359800.0
2.45,2.45,2.35,2.35,243.0,1655360100.0
2.35,2.35,2.35,2.35,0.0,1655360400.0
2.35,2.45,2.35,2.45,193.0,1655360700.0
2.45,2.45,2.45,2.45,0.0,1655361000.0
2.45,2.45,2.45,2.45,0.0,1655361300.0
2.45,2.45,2.45,2.45,0.0,1655361600.0
2.45,2.45,2.45,2.45,0.0,1655361900.0
2.45,2.45,2.35,2.35,616.0,1655362200.0
2.35,2.35,2.35,2.35,100.0,1655362500.0
2.35,2.35,2.35,2.35,0.0,1655362800.0
2.35,2.35,2.35,2.35,0.0,1655363100.0
2.35,2.35,2.35,2.35,0.0,1655363400.0
2.35,2.35,2.35,2.35,87.0,1655363700.0
2.35,2.35,2.35,2.35,0.0,1655364000.0
2.35,2.35,2.35,2.35,0.0,1655364300.0
2.35,2.4,2.35,2.4,0.0,1655364600.0
2.4,2.4,2.35,2.35,273.0,1655364900.0
2.35,2.35,2.35,2.35,906.0,1655365200.0
2.35,2.35,2.3,2.3,35.0,1655365500.0
2.3,2.35,2.3,2.35,48.0,1655365800.0
2.35,2.35,2.35,2.35,180.0,1655366100.0
2.35,2.35,2.35,2.35,0.0,1655366400.0
2.35,2.35,2.35,2.35,110.0,1655366700.0
2.35,2.35,2.35,2.35,0.0,1655367000.0
2.35,2.35,2.3,2.3,25.0,1655367300.0
2.3,2.3,2.3,2.3,0.0,1655367600.0
2.3,2.3,2.3,2.3,20.0,1655367900.0
2.3,2.3,2.3,2.3,0.0,1655368200.0
2.3,2.3,2.3,2.3,0.0,1655368500.0
2.3,2.3,2.3,2.3,0.0,1655368800.0
2.3,2.3,2.3,2.3,0.0,1655369100.0
2.3,2.35,2.3,2.35,20.0,1655369400.0
2.35,2.35,2.35,2.35,0.0,1655369700.0
2.35,2.35,2.3,2.3,200.0,1655370000.0
2.3,2.3,2.3,2.3,1260.0,1655370300.0
2.3,2.3,2.3,2.3,84.0,1655370600.0
2.3,2.3,2.3,2.3,0.0,1655370900.0
2.3,2.35,2.3,2.3,309.0,1655371200.0
2.3,2.35,2.3,2.35,300.0,1655371500.0
2.35,2.35,2.35,2.35,0.0,1655371800.0
2.35,2.35,2.3,2.3,4.0,1655372100.0
2.3,2.3,2.3,2.3,0.0,1655372400.0
2.3,2.35,2.3,2.35,139.0,1655372700.0
2.35,2.35,2.35,2.35,0.0,1655373000.0
2.35,2.35,2.35,2.35,0.0,1655373300.0
