open,high,low,close,volume,timestamp
810.45,810.45,810.45,810.45,258256.0,1741664700.0
810.45,810.45,810.45,810.45,91042.0,1741665000.0
810.45,810.45,810.45,810.45,231442.0,1741665300.0
810.45,810.45,765.4,765.4,253408.0,1741665600.0
765.4,765.4,765.4,765.4,126815.0,1741665900.0
765.4,765.4,765.4,765.4,98896.0,1741666200.0
765.4,765.4,720.35,732.95,13000532.0,1741666500.0
734.3,741.35,720.4,724.6,5820071.0,1741666800.0
723.9,731.2,721.3,724.0,2756535.0,1741667100.0
723.95,724.75,720.35,720.35,1067292.0,1741667400.0
720.35,720.35,720.35,720.35,1425896.0,1741667700.0
720.35,720.35,720.35,720.35,126421.0,1741668000.0
720.35,720.35,705.35,717.6,2322100.0,1741668300.0
717.95,718.1,712.0,713.2,1156230.0,1741668600.0
713.2,714.4,700.0,701.45,3003803.0,1741668900.0
701.5,705.2,696.65,704.4,2930103.0,1741669200.0
704.15,711.9,703.0,707.65,1364155.0,1741669500.0
707.75,710.7,706.6,706.6,911625.0,1741669800.0
706.5,706.9,701.05,704.75,889940.0,1741670100.0
704.8,707.75,702.0,706.9,550731.0,1741670400.0
706.9,706.9,704.0,705.65,484452.0,1741670700.0
705.65,709.5,705.55,709.2,470187.0,1741671000.0
709.2,709.3,699.0,702.1,1328590.0,1741671300.0
702.3,706.8,702.3,706.2,489977.0,1741671600.0
706.0,708.5,702.9,703.15,651378.0,1741671900.0
703.05,703.3,700.0,701.4,926351.0,1741672200.0
701.15,702.95,697.7,698.3,795566.0,1741672500.0
698.05,698.2,695.0,695.0,1661186.0,1741672800.0
695.0,695.95,694.0,694.65,1768467.0,1741673100.0
694.8,695.05,693.3,693.3,2063063.0,1741673400.0
693.3,693.3,693.3,693.3,150628.0,1741673700.0
693.3,693.3,693.3,693.3,134602.0,1741674000.0
693.3,693.3,693.3,693.3,84460.0,1741674300.0
693.3,693.3,693.3,693.3,78048.0,1741674600.0
693.3,693.3,673.45,676.7,2402116.0,1741674900.0
676.85,683.5,675.5,676.95,1765773.0,1741675200.0
676.95,676.95,670.0,676.0,1842376.0,1741675500.0
676.0,676.0,670.0,672.0,1593831.0,1741675800.0
672.1,672.6,667.15,668.65,2744373.0,1741676100.0
668.35,673.7,668.0,672.3,1621175.0,1741676400.0
672.15,675.0,672.15,673.9,835431.0,1741676700.0
673.9,674.7,672.45,674.3,347738.0,1741677000.0
674.35,674.35,668.6,669.95,975180.0,1741677300.0
669.95,670.95,669.1,669.1,501163.0,1741677600.0
669.5,670.0,668.1,669.6,571844.0,1741677900.0
669.8,670.35,668.05,669.4,845379.0,1741678200.0
669.4,669.5,666.25,666.25,1334622.0,1741678500.0
666.25,666.25,666.25,666.25,123801.0,1741678800.0
666.25,666.25,666.25,666.25,95780.0,1741679100.0
666.25,675.65,666.25,674.45,3350792.0,1741679400.0
673.8,677.45,671.35,673.7,1783044.0,1741679700.0
673.75,679.5,673.55,676.0,1419247.0,1741680000.0
676.0,676.7,672.0,672.75,1003763.0,1741680300.0
672.8,673.9,670.7,673.35,1259606.0,1741680600.0
673.3,674.0,672.0,672.65,801570.0,1741680900.0
672.65,679.5,672.0,679.05,895506.0,1741681200.0
679.4,682.8,678.05,681.05,1407595.0,1741681500.0
680.95,681.0,673.0,674.4,872983.0,1741681800.0
674.5,677.5,672.9,675.5,679001.0,1741682100.0
675.75,676.85,657.1,664.85,1933604.0,1741682400.0
664.3,667.7,662.1,666.9,1199188.0,1741682700.0
666.9,670.5,665.25,667.4,908670.0,1741683000.0
667.4,669.1,664.4,668.4,696851.0,1741683300.0
668.65,668.9,661.0,661.7,1074659.0,1741683600.0
661.75,664.6,661.5,663.75,544286.0,1741683900.0
663.7,664.7,661.9,663.7,527287.0,1741684200.0
663.65,664.05,653.7,655.05,1941662.0,1741684500.0
655.6,660.1,652.75,654.7,1047586.0,1741684800.0
654.4,658.0,652.2,657.45,1334368.0,1741685100.0
657.05,661.7,656.85,658.2,918849.0,1741685400.0
657.9,659.9,654.65,654.7,1548925.0,1741685700.0
654.75,655.0,649.0,653.9,2018787.0,1741686000.0
654.45,658.55,653.4,658.05,1601172.0,1741686300.0
658.5,660.15,652.4,659.9,1733463.0,1741686600.0
659.95,659.95,654.65,656.9,1312979.0,1741686900.0
