open,high,low,close,volume,timestamp
23.5,24.0,23.5,24.0,1625.0,1631850378.0
23.55,23.95,23.55,23.95,1925.0,1631850610.0
23.6,23.95,23.6,23.6,1301.0,1631850902.0
23.6,23.85,23.6,23.8,1103.0,1631851233.0
23.6,23.85,23.6,23.6,1154.0,1631851508.0
23.75,23.75,23.75,23.75,0.0,1631851874.0
24.75,24.75,23.65,23.7,12744.0,1631852118.0
23.65,23.8,23.5,23.5,6521.0,1631852418.0
23.4,23.65,23.35,23.65,2941.0,1631852845.0
23.4,23.65,23.4,23.6,1009.0,1631853086.0
23.55,23.55,23.5,23.5,102.0,1631853354.0
23.5,23.5,23.4,23.4,5117.0,1631853658.0
23.3,23.45,23.3,23.45,260.0,1631853907.0
23.4,23.5,23.4,23.5,6265.0,1631854259.0
23.5,23.5,23.35,23.5,85.0,1631854531.0
23.5,23.5,23.3,23.3,0.0,1631854813.0
23.3,23.45,22.9,23.05,40163.0,1631855139.0
23.3,23.3,23.3,23.3,0.0,1631855414.0
23.3,23.3,23.3,23.3,2033.0,1631855739.0
23.15,23.25,23.05,23.25,1496.0,1631856047.0
23.1,23.25,23.05,23.25,982.0,1631856352.0
23.25,23.25,22.9,23.0,37037.0,1631856605.0
23.2,23.2,23.1,23.1,30.0,1631856915.0
23.1,23.1,23.0,23.0,0.0,1631857241.0
23.0,23.1,23.0,23.1,765.0,1631857519.0
23.1,23.1,23.1,23.1,0.0,1631857813.0
23.1,23.1,23.0,23.1,264.0,1631858121.0
23.1,23.1,23.0,23.0,1132.0,1631858487.0
23.0,23.0,23.0,23.0,3280.0,1631858751.0
23.0,23.15,23.0,23.15,1005.0,1631859037.0
23.0,23.0,23.0,23.0,7403.0,1631859315.0
23.0,23.0,23.0,23.0,195.0,1631859603.0
23.0,23.0,23.0,23.0,0.0,1631859901.0
23.0,23.0,22.9,23.0,6553.0,1631860201.0
23.0,23.0,23.0,23.0,1120.0,1631860509.0
23.0,23.0,22.9,22.9,2450.0,1631860828.0
22.9,23.15,22.9,23.15,3895.0,1631861162.0
23.15,23.15,23.0,23.0,0.0,1631861439.0
23.0,23.0,23.0,23.0,0.0,1631861715.0
23.05,23.05,23.05,23.05,0.0,1631862015.0
23.05,23.1,23.05,23.1,0.0,1631862322.0
23.1,23.1,23.1,23.1,0.0,1631862671.0
22.95,23.0,22.95,23.0,720.0,1631862911.0
23.0,23.0,23.0,23.0,0.0,1631863260.0
23.0,23.1,23.0,23.1,452.0,1631863568.0
23.1,23.1,23.1,23.1,0.0,1631863841.0
23.1,23.1,23.0,23.1,787.0,1631864141.0
23.1,23.1,23.1,23.1,0.0,1631864408.0
23.1,23.1,23.1,23.1,0.0,1631864708.0
23.1,23.1,23.1,23.1,0.0,1631865065.0
23.1,23.1,23.1,23.1,0.0,1631865305.0
23.1,23.1,23.1,23.1,1107.0,1631865605.0
23.1,23.1,23.0,23.0,0.0,1631865941.0
23.0,23.05,23.0,23.05,346.0,1631866232.0
23.05,23.05,23.05,23.05,572.0,1631866558.0
22.9,23.05,22.9,23.05,22717.0,1631866872.0
23.05,23.05,23.05,23.05,0.0,1631867138.0
23.05,23.3,23.05,23.3,1047.0,1631867405.0
23.3,23.3,23.1,23.1,1050.0,1631867727.0
23.1,23.25,23.1,23.25,0.0,1631868031.0
23.1,23.25,23.1,23.25,55.0,1631868329.0
23.25,23.25,23.1,23.1,1276.0,1631868625.0
23.1,23.3,23.0,23.3,7445.0,1631868942.0
23.3,23.3,23.2,23.2,21.0,1631869260.0
23.2,23.2,23.2,23.2,0.0,1631869541.0
23.2,23.2,23.05,23.2,90.0,1631869841.0
23.2,23.2,23.2,23.2,0.0,1631870107.0
23.2,23.2,23.1,23.1,660.0,1631870455.0
23.1,23.1,23.1,23.1,0.0,1631870751.0
23.1,23.1,23.1,23.1,0.0,1631871024.0
23.1,23.1,23.1,23.1,238.0,1631871343.0
23.1,23.1,23.1,23.1,0.0,1631871626.0
23.0,23.0,23.0,23.0,0.0,1631871926.0
22.95,23.1,22.95,23.1,1075.0,1631872271.0
23.1,23.1,23.0,23.1,2559.0,1631872532.0
