open,high,low,close,volume,timestamp
789.99,789.99,789.99,789.99,15.0,1706587680.0
789.99,791.56,789.99,791.56,22.0,1706587800.0
791.56,795.56,790.0,795.54,48.0,1706588100.0
795.54,795.54,794.84,794.84,6.0,1706588400.0
791.0,791.0,789.99,789.99,440.0,1706588700.0
789.99,789.99,789.99,789.99,0.0,1706589000.0
791.0,792.01,791.0,791.83,49.0,1706589300.0
791.83,791.83,791.83,791.83,0.0,1706589600.0
791.83,791.83,791.83,791.83,3.0,1706589900.0
791.83,791.83,791.68,791.68,9.0,1706590200.0
791.68,791.68,791.0,791.0,45.0,1706590500.0
790.5,790.5,790.5,790.5,2.0,1706590800.0
790.5,790.5,790.5,790.5,0.0,1706591100.0
790.5,790.5,790.48,790.48,18.0,1706591400.0
790.48,790.48,789.97,790.13,12.0,1706591700.0
790.13,790.13,790.02,790.02,6.0,1706592000.0
790.02,790.02,790.02,790.02,0.0,1706592300.0
790.02,790.02,790.02,790.02,0.0,1706592600.0
790.01,790.01,788.5,788.5,2.0,1706592900.0
788.5,788.5,788.5,788.5,0.0,1706593200.0
788.5,789.44,788.5,789.44,2.0,1706593500.0
789.44,789.44,788.95,788.95,12.0,1706593800.0
788.95,789.28,788.95,789.28,3.0,1706594100.0
789.28,789.28,789.28,789.28,0.0,1706594400.0
789.28,789.28,789.28,789.28,0.0,1706594700.0
789.28,790.62,789.28,790.62,1.0,1706595000.0
790.62,790.62,790.46,790.46,1.0,1706595300.0
790.14,790.14,789.29,789.29,11.0,1706595600.0
790.14,790.94,790.14,790.94,107.0,1706595900.0
790.93,790.93,790.14,790.14,105.0,1706596200.0
790.14,790.39,788.51,789.88,77.0,1706596500.0
789.88,789.88,789.88,789.88,0.0,1706596800.0
789.88,790.19,789.88,790.19,4.0,1706597100.0
790.19,790.19,789.86,789.86,9.0,1706597400.0
789.86,789.86,789.5,789.62,7.0,1706597700.0
789.62,789.62,789.62,789.62,0.0,1706598000.0
789.62,789.62,789.62,789.62,0.0,1706598300.0
789.62,789.62,789.0,789.15,49.0,1706598600.0
789.15,789.15,789.15,789.15,0.0,1706598900.0
789.15,789.15,789.15,789.15,50.0,1706599200.0
789.15,789.65,789.15,789.65,8.0,1706599500.0
789.5,791.82,780.62,780.63,405.0,1706599800.0
780.63,788.17,780.63,788.17,1.0,1706600100.0
783.01,786.99,783.01,786.98,27.0,1706600400.0
786.98,786.98,786.98,786.98,1.0,1706600700.0
786.98,786.98,786.98,786.98,10.0,1706601000.0
786.98,786.98,786.98,786.98,3.0,1706601300.0
786.98,786.99,786.98,786.99,7.0,1706601600.0
786.99,786.99,786.99,786.99,27.0,1706601900.0
786.99,786.99,786.99,786.99,32.0,1706602200.0
786.99,786.99,784.01,784.01,12.0,1706602500.0
784.01,788.05,784.01,788.05,8.0,1706602800.0
788.05,788.05,787.58,787.58,2.0,1706603100.0
787.58,787.59,787.43,787.43,7.0,1706603400.0
787.43,787.43,787.09,787.09,5.0,1706603700.0
786.92,787.08,786.92,787.08,4.0,1706604000.0
787.08,787.08,787.08,787.08,0.0,1706604300.0
787.08,787.42,787.08,787.26,8.0,1706604600.0
787.26,787.26,786.78,786.78,3.0,1706604900.0
786.78,786.78,785.31,785.63,17.0,1706605200.0
785.47,785.47,784.64,784.64,23.0,1706605500.0
785.13,785.13,784.64,784.94,42.0,1706605800.0
784.94,784.94,784.92,784.92,1.0,1706606100.0
784.92,785.11,784.0,784.0,96.0,1706606400.0
784.15,784.2,784.15,784.18,60.0,1706606700.0
784.17,784.17,783.0,783.64,9.0,1706607000.0
783.64,783.64,782.81,782.98,73.0,1706607300.0
782.65,782.95,782.65,782.95,145.0,1706607600.0
782.95,783.62,782.95,783.3,85.0,1706607900.0
783.3,783.77,783.3,783.77,91.0,1706608200.0
783.5,791.83,783.3,791.83,93.0,1706608500.0
