open,high,low,close,volume,timestamp
21.55,22.8,21.55,22.75,2132500.0,1640058300.0
22.8,23.5,22.8,23.15,163641.0,1640058600.0
23.15,23.15,22.8,23.0,99906.0,1640058900.0
23.0,23.0,22.4,22.7,94316.0,1640059200.0
22.7,22.7,21.55,21.55,1181799.0,1640059500.0
21.55,22.6,21.55,22.5,769035.0,1640059800.0
22.55,22.95,22.1,22.95,144876.0,1640060100.0
22.95,23.0,22.65,22.7,26169.0,1640060400.0
22.75,22.9,22.65,22.9,19585.0,1640060700.0
22.85,22.9,22.45,22.5,32953.0,1640061000.0
22.5,22.65,22.5,22.5,43645.0,1640061300.0
22.5,22.5,22.35,22.5,38891.0,1640061600.0
22.5,23.2,22.5,23.15,40622.0,1640061900.0
23.15,23.2,23.0,23.0,30041.0,1640062200.0
23.0,23.0,22.5,22.7,62110.0,1640062500.0
22.7,23.15,22.7,23.15,14371.0,1640062800.0
22.95,23.0,22.9,23.0,23173.0,1640063100.0
23.0,23.15,22.95,23.15,52279.0,1640063400.0
23.1,23.6,23.1,23.3,35318.0,1640063700.0
23.4,23.5,23.3,23.4,33024.0,1640064000.0
23.45,23.45,23.3,23.45,9451.0,1640064300.0
23.45,23.45,23.35,23.4,18022.0,1640064600.0
23.35,23.35,23.25,23.3,8245.0,1640064900.0
23.3,23.3,23.15,23.25,2562.0,1640065200.0
23.25,23.25,23.1,23.1,11004.0,1640065500.0
23.2,23.2,22.8,22.8,81979.0,1640065800.0
22.8,23.15,22.8,23.15,5857.0,1640066100.0
23.2,23.2,23.1,23.1,3434.0,1640066400.0
23.2,23.2,23.0,23.0,10721.0,1640066700.0
23.0,23.05,22.95,23.05,6644.0,1640067000.0
23.05,23.05,23.05,23.05,3476.0,1640067300.0
23.05,23.05,22.9,22.95,21856.0,1640067600.0
22.95,23.0,22.95,23.0,12695.0,1640067900.0
23.0,23.0,22.9,23.0,12104.0,1640068200.0
23.0,23.0,23.0,23.0,2059.0,1640068500.0
23.0,23.0,22.95,23.0,6293.0,1640068800.0
23.0,23.0,23.0,23.0,3265.0,1640069100.0
22.95,22.95,22.85,22.95,4304.0,1640069400.0
22.95,22.95,22.75,22.95,10751.0,1640069700.0
22.85,22.95,22.8,22.95,2009.0,1640070000.0
22.95,22.95,22.85,22.9,379.0,1640070300.0
22.85,22.95,22.85,22.9,6686.0,1640070600.0
22.9,22.9,22.9,22.9,2713.0,1640070900.0
22.9,22.95,22.85,22.95,1238.0,1640071200.0
23.0,23.05,22.95,23.0,21203.0,1640071500.0
23.0,23.15,23.0,23.1,3859.0,1640071800.0
23.1,23.3,23.1,23.25,2938.0,1640072100.0
23.25,23.3,23.2,23.25,6508.0,1640072400.0
23.25,23.25,23.2,23.25,3301.0,1640072700.0
23.2,23.2,23.1,23.15,1418.0,1640073000.0
23.15,23.25,23.15,23.15,2777.0,1640073300.0
23.2,23.25,23.1,23.25,4727.0,1640073600.0
23.2,23.25,23.2,23.25,1130.0,1640073900.0
23.25,24.3,23.25,24.25,93629.0,1640074200.0
24.35,25.7,23.95,25.25,213853.0,1640074500.0
25.3,25.45,25.05,25.35,20456.0,1640074800.0
25.3,25.35,24.05,24.5,42559.0,1640075100.0
24.6,24.6,24.15,24.3,25154.0,1640075400.0
24.2,24.25,23.8,23.8,55910.0,1640075700.0
23.95,24.2,23.9,23.9,25823.0,1640076000.0
23.9,23.9,23.7,23.8,15647.0,1640076300.0
23.8,23.85,23.5,23.6,14991.0,1640076600.0
23.7,23.85,23.7,23.85,6272.0,1640076900.0
23.85,23.9,23.7,23.7,8328.0,1640077200.0
23.75,23.75,23.55,23.65,6645.0,1640077500.0
23.55,23.7,23.45,23.7,17827.0,1640077800.0
23.7,23.95,23.7,23.9,6701.0,1640078100.0
23.9,23.9,23.8,23.8,4288.0,1640078400.0
23.85,23.85,23.7,23.7,7049.0,1640078700.0
23.7,23.75,23.45,23.45,13309.0,1640079000.0
23.4,23.75,23.25,23.25,21701.0,1640079300.0
23.3,23.7,23.2,23.3,22823.0,1640079600.0
23.35,23.75,23.25,23.55,28993.0,1640079900.0
23.55,23.85,23.15,23.35,55095.0,1640080200.0
23.6,23.75,23.45,23.55,66673.0,1640080500.0
23.55,23.55,23.55,23.55,0.0,1640080800.0
