open,high,low,close,volume,timestamp
9.37,9.37,7.82,9.15,33100.0,1645760700.0
9.19,9.3,9.15,9.3,7750.0,1645761000.0
9.3,9.3,9.16,9.2,16530.0,1645761300.0
9.2,9.2,9.17,9.2,9380.0,1645761600.0
9.17,9.2,9.16,9.19,14210.0,1645761900.0
9.19,9.2,9.17,9.2,3030.0,1645762200.0
9.2,9.2,9.17,9.2,1400.0,1645762500.0
9.2,9.2,9.17,9.2,5000.0,1645762800.0
9.2,9.2,9.17,9.17,1210.0,1645763100.0
9.2,9.2,9.17,9.19,4130.0,1645763400.0
9.19,9.19,9.17,9.18,18720.0,1645763700.0
9.17,9.2,9.17,9.19,1580.0,1645764000.0
9.17,9.2,9.17,9.2,2190.0,1645764300.0
9.2,9.2,9.18,9.2,3590.0,1645764600.0
9.18,9.2,9.18,9.2,660.0,1645764900.0
9.2,9.2,9.18,9.2,11160.0,1645765200.0
9.18,9.2,9.18,9.2,8350.0,1645765500.0
9.2,9.2,9.19,9.2,690.0,1645765800.0
9.24,9.25,9.21,9.21,1430.0,1645766100.0
9.21,9.24,9.2,9.24,510.0,1645766400.0
9.24,9.25,9.2,9.24,690.0,1645766700.0
9.24,9.24,9.2,9.24,6760.0,1645767000.0
9.25,9.25,9.22,9.23,5170.0,1645767300.0
9.24,9.24,9.22,9.23,770.0,1645767600.0
9.23,9.23,9.22,9.22,400.0,1645767900.0
9.24,9.24,9.22,9.23,830.0,1645768200.0
9.22,9.24,9.22,9.22,700.0,1645768500.0
9.23,9.24,9.22,9.23,890.0,1645768800.0
9.22,9.23,9.22,9.23,1250.0,1645769100.0
9.23,9.24,9.22,9.22,600.0,1645769400.0
9.23,9.23,9.22,9.23,450.0,1645769700.0
9.23,9.23,9.2,9.22,1560.0,1645770000.0
9.21,9.22,9.2,9.2,11280.0,1645770300.0
9.2,9.21,9.19,9.21,370.0,1645770600.0
9.21,9.21,9.19,9.19,190.0,1645770900.0
9.19,9.2,9.18,9.19,750.0,1645771200.0
9.19,9.19,9.18,9.18,1600.0,1645771500.0
9.18,9.21,9.18,9.21,1960.0,1645771800.0
9.21,9.21,9.18,9.21,440.0,1645772100.0
9.21,9.21,9.17,9.17,7350.0,1645772400.0
9.18,9.18,9.16,9.16,35510.0,1645772700.0
9.15,9.17,9.15,9.15,109500.0,1645773000.0
9.19,9.19,9.15,9.19,2660.0,1645773300.0
9.19,9.2,9.15,9.19,1480.0,1645773600.0
9.19,9.19,9.15,9.19,180.0,1645773900.0
9.19,9.19,9.15,9.19,300.0,1645774200.0
9.19,9.19,9.15,9.19,240.0,1645774500.0
9.19,9.19,9.15,9.15,50.0,1645774800.0
9.15,9.18,9.15,9.18,40.0,1645775100.0
9.15,9.19,9.15,9.19,250.0,1645775400.0
9.15,9.18,9.15,9.18,12630.0,1645775700.0
9.19,9.19,9.15,9.15,230.0,1645776000.0
9.15,9.19,9.15,9.18,190.0,1645776300.0
9.16,9.18,9.15,9.18,190.0,1645776600.0
9.18,9.18,9.15,9.15,7660.0,1645776900.0
9.17,9.17,9.15,9.15,170.0,1645777200.0
9.17,9.17,9.15,9.17,520.0,1645777500.0
9.17,9.18,9.15,9.18,360.0,1645777800.0
9.15,9.18,9.15,9.18,460.0,1645778100.0
9.18,9.18,9.15,9.18,1180.0,1645778400.0
9.18,9.18,9.15,9.15,710.0,1645778700.0
9.15,9.2,9.15,9.2,890.0,1645779000.0
9.2,9.2,9.18,9.18,3240.0,1645779300.0
9.2,9.2,9.18,9.18,530.0,1645779600.0
9.2,9.2,9.16,9.2,690.0,1645779900.0
9.2,9.2,9.17,9.2,200.0,1645780200.0
9.2,9.2,9.17,9.17,610.0,1645780500.0
9.17,9.2,9.17,9.2,90.0,1645780800.0
9.2,9.2,9.18,9.2,390.0,1645781100.0
9.2,9.2,9.18,9.2,1620.0,1645781400.0
9.2,9.2,9.18,9.18,810.0,1645781700.0
9.2,9.2,9.2,9.2,140.0,1645782000.0
9.18,9.2,9.18,9.2,420.0,1645782300.0
9.2,9.2,9.19,9.19,1800.0,1645782600.0
9.2,9.2,9.19,9.19,690.0,1645782900.0
