open,high,low,close,volume,timestamp
4.25,4.7,4.25,4.65,6917.0,1650253500.0
4.45,4.6,4.45,4.6,4320.0,1650253800.0
4.5,4.5,4.5,4.5,102.0,1650254100.0
4.6,4.6,4.5,4.6,422.0,1650254400.0
4.5,4.6,4.5,4.6,60.0,1650254700.0
4.5,4.5,4.45,4.45,3039.0,1650255300.0
4.4,4.6,4.4,4.55,5202.0,1650255600.0
4.45,4.45,4.45,4.45,50.0,1650255960.0
4.55,4.55,4.45,4.55,1418.0,1650256260.0
4.45,4.55,4.45,4.55,1542.0,1650256500.0
4.55,4.55,4.5,4.5,46.0,1650256800.0
4.55,4.55,4.5,4.5,491.0,1650257100.0
4.5,4.55,4.5,4.5,72.0,1650257400.0
4.4,4.55,4.4,4.55,1006.0,1650257700.0
4.55,4.55,4.55,4.55,2.0,1650258000.0
4.55,4.55,4.55,4.55,1.0,1650258300.0
4.55,4.55,4.45,4.45,256.0,1650258600.0
4.45,4.45,4.45,4.45,2.0,1650258900.0
4.45,4.45,4.45,4.45,1015.0,1650259200.0
4.45,4.45,4.45,4.45,0.0,1650259500.0
4.45,4.55,4.45,4.45,1256.0,1650259800.0
4.45,4.45,4.45,4.45,0.0,1650260100.0
4.45,4.45,4.45,4.45,0.0,1650260400.0
4.45,4.55,4.45,4.55,1112.0,1650260700.0
4.55,4.55,4.55,4.55,100.0,1650261000.0
4.55,4.55,4.5,4.5,0.0,1650261300.0
4.55,4.55,4.55,4.55,191.0,1650261600.0
4.55,4.55,4.5,4.5,100.0,1650261900.0
4.5,4.5,4.5,4.5,0.0,1650262200.0
4.55,4.55,4.55,4.55,7.0,1650262500.0
4.55,4.55,4.45,4.45,5400.0,1650262800.0
4.45,4.45,4.45,4.45,0.0,1650263100.0
4.45,4.45,4.45,4.45,100.0,1650263400.0
4.45,4.45,4.45,4.45,0.0,1650263700.0
4.45,4.45,4.45,4.45,400.0,1650264000.0
4.45,4.45,4.45,4.45,0.0,1650264300.0
4.45,4.45,4.45,4.45,0.0,1650264600.0
4.45,4.45,4.45,4.45,0.0,1650264900.0
4.45,4.45,4.45,4.45,0.0,1650265200.0
4.45,4.45,4.45,4.45,0.0,1650265500.0
4.45,4.5,4.45,4.5,1.0,1650265800.0
4.5,4.5,4.5,4.5,0.0,1650266100.0
4.5,4.5,4.45,4.45,8.0,1650266400.0
4.45,4.5,4.45,4.5,654.0,1650266700.0
4.5,4.5,4.45,4.45,1360.0,1650267000.0
4.45,4.45,4.45,4.45,14.0,1650267300.0
4.45,4.45,4.45,4.45,0.0,1650267600.0
4.45,4.5,4.45,4.5,5.0,1650267900.0
4.5,4.5,4.5,4.5,0.0,1650268200.0
4.5,4.5,4.5,4.5,452.0,1650268500.0
4.5,4.5,4.5,4.5,1.0,1650268800.0
4.5,4.5,4.5,4.5,535.0,1650269100.0
4.5,4.5,4.5,4.5,0.0,1650269400.0
4.5,4.5,4.5,4.5,0.0,1650269700.0
4.5,4.5,4.5,4.5,0.0,1650270000.0
4.5,4.55,4.5,4.55,2960.0,1650270300.0
4.55,4.55,4.5,4.5,1000.0,1650270600.0
4.5,4.55,4.5,4.55,77.0,1650270900.0
4.55,4.55,4.55,4.55,12.0,1650271200.0
4.55,4.55,4.55,4.55,4.0,1650271500.0
4.55,4.55,4.55,4.55,0.0,1650271800.0
4.55,4.55,4.55,4.55,25.0,1650272100.0
4.55,4.55,4.55,4.55,15.0,1650272400.0
4.55,4.55,4.55,4.55,1.0,1650272700.0
4.55,4.55,4.55,4.55,0.0,1650273000.0
4.55,4.55,4.55,4.55,100.0,1650273300.0
4.55,4.6,4.55,4.6,330.0,1650273600.0
4.6,4.6,4.6,4.6,0.0,1650273900.0
4.6,4.6,4.6,4.6,225.0,1650274200.0
4.6,4.6,4.5,4.6,120.0,1650274500.0
4.6,4.6,4.6,4.6,0.0,1650274800.0
4.6,4.6,4.55,4.55,0.0,1650275100.0
4.55,4.55,4.5,4.5,140.0,1650275400.0
4.5,4.55,4.5,4.55,25.0,1650275700.0
