open,high,low,close,volume,timestamp
31.6,33.31,30.5,32.79,1916303.0,1766979900.0
32.84,33.44,32.74,33.09,557239.0,1766980200.0
33.09,33.16,32.9,32.91,180385.0,1766980500.0
32.96,33.4,32.86,33.2,521842.0,1766980800.0
33.23,33.26,33.0,33.03,77275.0,1766981100.0
33.03,33.12,32.8,32.87,247339.0,1766981400.0
32.88,32.9,32.6,32.77,256039.0,1766981700.0
32.77,32.88,32.61,32.7,278118.0,1766982000.0
32.7,32.74,32.29,32.31,386797.0,1766982300.0
32.36,32.58,32.32,32.56,109848.0,1766982600.0
32.55,32.58,32.44,32.51,62441.0,1766982900.0
32.55,32.64,32.53,32.64,66907.0,1766983200.0
32.59,32.64,32.3,32.39,178667.0,1766983500.0
32.37,32.42,32.33,32.35,48202.0,1766983800.0
32.38,32.42,32.33,32.37,25390.0,1766984100.0
32.37,32.41,32.21,32.34,85059.0,1766984400.0
32.4,32.49,32.34,32.43,47401.0,1766984700.0
32.47,32.58,32.39,32.49,160416.0,1766985000.0
32.49,32.53,32.34,32.35,72071.0,1766985300.0
32.35,32.36,32.13,32.13,228894.0,1766985600.0
32.15,32.15,32.02,32.12,137699.0,1766985900.0
32.09,32.16,32.06,32.14,30396.0,1766986200.0
32.13,32.14,31.9,32.09,204606.0,1766986500.0
32.1,32.12,32.01,32.12,42486.0,1766986800.0
32.12,32.14,32.03,32.11,68815.0,1766987100.0
32.11,32.18,32.1,32.18,35969.0,1766987400.0
32.2,32.21,32.13,32.19,29484.0,1766987700.0
32.17,32.2,32.15,32.16,31516.0,1766988000.0
32.16,32.2,32.11,32.15,44043.0,1766988300.0
32.14,32.19,32.09,32.19,55289.0,1766988600.0
32.19,32.3,32.19,32.28,129979.0,1766988900.0
32.28,32.29,32.23,32.29,11996.0,1766989200.0
32.28,32.36,32.23,32.24,75146.0,1766989500.0
32.28,32.3,32.22,32.26,26393.0,1766989800.0
32.23,32.27,32.14,32.18,82114.0,1766990100.0
32.17,32.27,32.17,32.26,79779.0,1766990400.0
32.3,32.4,32.29,32.34,59666.0,1766990700.0
32.34,32.38,32.29,32.35,22985.0,1766991000.0
32.35,32.39,32.31,32.37,18843.0,1766991300.0
32.33,32.37,32.29,32.32,12792.0,1766991600.0
32.29,32.29,32.25,32.25,54307.0,1766991900.0
32.25,32.25,32.08,32.1,128948.0,1766992200.0
32.15,32.16,32.09,32.09,23591.0,1766992500.0
32.14,32.14,32.05,32.11,40993.0,1766992800.0
32.14,32.22,32.11,32.22,34150.0,1766993100.0
32.22,32.32,32.2,32.23,88680.0,1766993400.0
32.25,32.28,32.18,32.27,15792.0,1766993700.0
32.23,32.28,32.17,32.25,18223.0,1766994000.0
32.26,32.27,32.21,32.21,7470.0,1766994300.0
32.25,32.27,32.17,32.21,11448.0,1766994600.0
32.2,32.2,32.14,32.15,12543.0,1766994900.0
32.2,32.2,32.16,32.2,2782.0,1766995200.0
32.2,32.2,32.15,32.19,6414.0,1766995500.0
32.15,32.2,32.15,32.2,7467.0,1766995800.0
32.2,32.36,32.17,32.36,57681.0,1766996100.0
32.36,32.4,32.33,32.38,27054.0,1766996400.0
32.38,32.38,32.32,32.37,15261.0,1766996700.0
32.37,32.38,32.3,32.31,26169.0,1766997000.0
32.35,32.35,32.26,32.3,43489.0,1766997300.0
32.3,32.33,32.21,32.25,56687.0,1766997600.0
32.19,32.23,32.17,32.2,14148.0,1766997900.0
32.2,32.25,32.17,32.24,6631.0,1766998200.0
32.24,32.29,32.21,32.29,22204.0,1766998500.0
32.29,32.37,32.26,32.3,24350.0,1766998800.0
32.3,32.35,32.3,32.31,14286.0,1766999100.0
32.31,32.34,32.22,32.23,44860.0,1766999400.0
32.27,32.28,32.22,32.27,26963.0,1766999700.0
32.27,32.35,32.27,32.35,63579.0,1767000000.0
32.31,32.35,32.3,32.34,21631.0,1767000300.0
32.34,32.34,32.18,32.24,118172.0,1767000600.0
32.24,32.47,32.24,32.47,116562.0,1767000900.0
32.4,32.45,32.35,32.4,32570.0,1767001200.0
32.4,32.4,32.24,32.29,144748.0,1767001500.0
32.32,32.39,32.15,32.28,215470.0,1767001800.0
32.27,32.33,32.19,32.21,156896.0,1767002100.0
