open,high,low,close,volume,timestamp
17.11,17.49,16.91,17.48,13348.0,1719373500.0
17.48,17.48,17.4,17.4,237.0,1719373800.0
17.0,17.3,16.91,16.91,6704.0,1719374100.0
16.91,16.91,16.91,16.91,22.0,1719374400.0
16.91,16.91,16.91,16.91,776.0,1719374700.0
16.91,16.91,16.91,16.91,1003.0,1719375000.0
16.91,16.91,16.91,16.91,6590.0,1719375300.0
16.95,17.3,16.95,16.95,1553.0,1719375600.0
17.25,17.25,17.25,17.25,597.0,1719375900.0
17.25,17.25,17.24,17.25,4068.0,1719376200.0
17.25,17.25,17.25,17.25,108.0,1719376500.0
17.25,17.25,17.25,17.25,756.0,1719376800.0
16.95,16.95,16.95,16.95,3336.0,1719377100.0
16.96,16.96,16.96,16.96,36.0,1719377400.0
16.96,17.25,16.96,17.25,948.0,1719377700.0
17.25,17.25,17.25,17.25,124.0,1719378000.0
17.25,17.25,16.95,16.95,9590.0,1719378300.0
16.95,16.95,16.95,16.95,806.0,1719378600.0
16.95,16.95,16.95,16.95,250.0,1719378900.0
16.95,17.25,16.95,17.25,107.0,1719379200.0
17.25,17.25,16.96,17.25,99.0,1719379500.0
16.95,16.95,16.95,16.95,1500.0,1719379800.0
16.95,16.95,16.95,16.95,50.0,1719380100.0
16.95,16.95,16.95,16.95,75.0,1719380400.0
17.0,17.0,16.95,16.95,1537.0,1719380700.0
17.2,17.2,17.0,17.0,54.0,1719381000.0
17.0,17.0,16.91,16.91,3000.0,1719381300.0
16.91,17.24,16.91,17.24,1340.0,1719381600.0
17.24,17.24,17.24,17.24,15.0,1719381900.0
17.24,17.24,16.91,16.91,5130.0,1719382200.0
16.91,16.91,16.91,16.91,4.0,1719382500.0
16.91,16.91,16.91,16.91,0.0,1719382800.0
16.91,16.91,16.91,16.91,101.0,1719383100.0
17.19,17.19,17.19,17.19,1.0,1719383400.0
17.0,17.0,16.91,16.91,92.0,1719383700.0
16.91,17.0,16.91,17.0,449.0,1719384000.0
17.0,17.0,17.0,17.0,0.0,1719384300.0
16.91,16.91,16.91,16.91,550.0,1719384600.0
16.91,16.91,16.91,16.91,0.0,1719384900.0
16.91,16.91,16.91,16.91,848.0,1719385200.0
16.91,16.91,16.91,16.91,89.0,1719385500.0
16.91,16.91,16.91,16.91,100.0,1719385800.0
16.91,16.91,16.91,16.91,5.0,1719386100.0
16.91,16.91,16.91,16.91,525.0,1719386400.0
16.91,16.91,16.91,16.91,310.0,1719386700.0
16.91,16.91,16.91,16.91,120.0,1719387000.0
16.91,16.91,16.91,16.91,10.0,1719387300.0
16.91,16.91,16.91,16.91,10.0,1719387600.0
16.91,16.91,16.91,16.91,210.0,1719387900.0
16.91,16.91,16.91,16.91,1701.0,1719388200.0
16.91,16.91,16.91,16.91,109.0,1719388500.0
16.91,16.91,16.91,16.91,1010.0,1719388800.0
16.91,16.91,16.91,16.91,50.0,1719389100.0
16.91,16.91,16.91,16.91,100.0,1719389400.0
16.91,17.0,16.91,17.0,17741.0,1719389700.0
17.0,17.0,16.91,16.91,1407.0,1719390000.0
16.91,16.91,16.91,16.91,2000.0,1719390300.0
16.91,16.91,16.91,16.91,0.0,1719390600.0
16.91,17.22,16.91,16.91,1367.0,1719390900.0
16.91,16.91,16.91,16.91,0.0,1719391200.0
16.91,16.91,16.91,16.91,75.0,1719391500.0
16.91,16.91,16.91,16.91,19.0,1719391800.0
16.91,16.91,16.91,16.91,0.0,1719392100.0
16.91,16.91,16.91,16.91,1000.0,1719392400.0
16.91,16.91,16.91,16.91,4425.0,1719392700.0
16.91,16.91,16.91,16.91,101.0,1719393000.0
16.91,16.91,16.91,16.91,0.0,1719393300.0
16.91,17.07,16.91,16.91,5656.0,1719393600.0
16.91,17.1,16.91,16.91,5688.0,1719393900.0
16.91,16.91,16.91,16.91,1000.0,1719394200.0
16.91,17.1,16.91,16.91,1885.0,1719394500.0
16.91,16.91,16.91,16.91,4036.0,1719394800.0
17.1,17.1,17.1,17.1,2879.0,1719395100.0
17.1,17.1,17.1,17.1,747.0,1719395400.0
17.1,17.25,16.91,17.25,14306.0,1719395700.0
