open,high,low,close,volume,timestamp
57.8,60.0,57.8,58.95,15553.0,1644464700.0
58.95,58.95,57.8,58.3,9060.0,1644465000.0
58.0,58.4,57.8,57.8,4367.0,1644465300.0
57.8,58.1,57.8,58.1,8353.0,1644465600.0
58.1,58.45,58.0,58.4,1780.0,1644465900.0
58.2,58.7,58.1,58.65,2122.0,1644466200.0
58.65,58.65,58.25,58.5,1811.0,1644466560.0
58.5,58.5,58.5,58.5,200.0,1644466920.0
58.3,58.5,58.3,58.5,251.0,1644467100.0
58.45,58.65,58.3,58.55,1509.0,1644467400.0
58.65,58.85,58.05,58.75,692.0,1644467700.0
58.7,59.0,58.7,59.0,668.0,1644468000.0
58.85,59.6,58.85,59.45,2416.0,1644468300.0
59.4,59.4,59.25,59.25,2.0,1644468600.0
59.0,59.0,58.95,59.0,552.0,1644468900.0
59.25,59.3,59.2,59.25,262.0,1644469200.0
59.25,59.25,59.25,59.25,29.0,1644469500.0
59.0,59.25,58.6,58.95,1099.0,1644469800.0
58.95,58.95,58.95,58.95,1.0,1644470100.0
58.95,58.95,58.6,58.9,1043.0,1644470400.0
58.9,58.9,58.8,58.9,356.0,1644470700.0
58.85,58.85,58.75,58.8,284.0,1644471000.0
58.85,59.1,58.7,59.1,1452.0,1644471300.0
59.1,59.1,58.9,59.1,126.0,1644471600.0
58.95,58.95,58.95,58.95,100.0,1644471900.0
58.75,58.95,58.7,58.95,2734.0,1644472200.0
58.95,58.95,58.9,58.9,8.0,1644472500.0
58.9,59.2,58.85,59.2,939.0,1644472800.0
59.0,59.6,59.0,59.4,3097.0,1644473100.0
59.2,59.35,58.85,59.15,1054.0,1644473400.0
59.15,59.2,58.9,59.15,833.0,1644473700.0
59.0,59.0,59.0,59.0,8.0,1644474000.0
59.0,59.0,59.0,59.0,20.0,1644474300.0
59.0,59.0,59.0,59.0,534.0,1644474600.0
59.0,59.0,58.8,59.0,52.0,1644474900.0
59.0,59.35,59.0,59.3,779.0,1644475200.0
59.3,59.3,59.0,59.0,328.0,1644475500.0
59.05,59.05,59.0,59.0,6.0,1644475800.0
58.95,59.0,58.9,58.95,212.0,1644476100.0
58.95,59.0,58.65,58.8,874.0,1644476400.0
58.9,58.9,58.7,58.7,15.0,1644476700.0
58.95,58.95,58.75,58.85,150.0,1644477000.0
58.7,58.7,57.8,57.8,9852.0,1644477300.0
57.8,57.8,57.8,57.8,100.0,1644477600.0
57.8,57.8,57.8,57.8,906.0,1644477900.0
57.8,57.8,57.8,57.8,26.0,1644478200.0
57.8,57.8,57.8,57.8,0.0,1644478500.0
57.8,57.8,57.8,57.8,320.0,1644478800.0
57.8,57.8,57.8,57.8,70.0,1644479100.0
57.8,57.8,57.8,57.8,49.0,1644479400.0
57.8,57.8,57.8,57.8,75.0,1644479700.0
57.8,57.8,57.8,57.8,111.0,1644480000.0
57.8,57.8,57.8,57.8,132.0,1644480300.0
57.8,57.8,57.8,57.8,1.0,1644480600.0
57.8,57.8,57.8,57.8,0.0,1644480900.0
57.8,57.8,57.8,57.8,310.0,1644481200.0
57.8,57.8,57.8,57.8,0.0,1644481500.0
57.8,57.8,57.8,57.8,121.0,1644481800.0
57.8,57.8,57.8,57.8,64.0,1644482100.0
57.8,57.8,57.8,57.8,1037.0,1644482400.0
57.8,57.8,57.8,57.8,50.0,1644482700.0
57.8,57.8,57.8,57.8,0.0,1644483000.0
57.8,57.8,57.8,57.8,0.0,1644483300.0
57.8,57.8,57.8,57.8,0.0,1644483600.0
57.8,57.8,57.8,57.8,536.0,1644483900.0
57.8,57.8,57.8,57.8,1.0,1644484200.0
57.8,57.8,57.8,57.8,15850.0,1644484500.0
58.0,64.5,58.0,61.2,23518.0,1644484800.0
61.15,61.55,60.55,61.4,1929.0,1644485100.0
61.4,62.5,61.3,61.55,1430.0,1644485400.0
61.55,61.9,60.55,60.7,2666.0,1644485700.0
62.0,62.0,62.0,62.0,526.0,1644486000.0
62.0,62.0,61.2,61.2,389.0,1644486300.0
61.2,61.7,61.2,61.4,1290.0,1644486600.0
61.4,62.4,61.4,61.4,1230.0,1644486900.0
61.4,61.4,61.4,61.4,0.0,1644487200.0
