open,high,low,close,volume,timestamp
147.5,151.0,147.0,147.55,4351.0,1674531900.0
147.6,147.6,146.75,146.9,1636.0,1674532200.0
146.75,147.55,146.15,147.55,1782.0,1674532500.0
147.55,149.45,147.55,148.9,1507.0,1674532800.0
148.95,149.15,148.95,149.0,343.0,1674533100.0
149.15,149.75,147.05,147.05,1666.0,1674533400.0
148.0,148.0,147.05,147.3,239.0,1674533700.0
147.3,148.0,146.85,146.85,120.0,1674534000.0
146.85,148.4,146.85,148.4,1.0,1674534300.0
147.25,148.4,147.15,147.15,70.0,1674534600.0
148.4,148.4,146.9,147.0,282.0,1674534900.0
147.25,147.9,147.25,147.9,208.0,1674535200.0
147.9,147.9,146.15,146.15,887.0,1674535500.0
147.25,147.25,147.25,147.25,6.0,1674535800.0
146.5,149.75,146.5,149.6,3250.0,1674536100.0
149.6,150.55,149.6,149.75,499.0,1674536400.0
149.75,149.75,148.6,149.5,405.0,1674536700.0
149.5,149.6,148.0,148.8,130.0,1674537000.0
148.8,148.8,148.4,148.4,70.0,1674537300.0
148.75,148.75,148.75,148.75,300.0,1674537600.0
148.75,148.75,148.6,148.6,15.0,1674537900.0
148.6,148.6,148.6,148.6,50.0,1674538200.0
148.6,148.6,147.85,147.85,78.0,1674538500.0
147.85,147.85,147.85,147.85,0.0,1674538800.0
147.85,150.0,147.85,150.0,2203.0,1674539100.0
150.0,150.0,149.95,149.95,6.0,1674539400.0
149.95,149.95,149.95,149.95,6.0,1674539700.0
149.95,149.95,148.55,148.55,62.0,1674540000.0
148.55,148.55,148.1,148.1,120.0,1674540300.0
148.1,150.05,148.1,149.8,831.0,1674540600.0
149.8,149.8,148.65,148.65,60.0,1674540900.0
148.65,148.7,148.65,148.7,9.0,1674541200.0
148.6,148.6,148.6,148.6,60.0,1674541500.0
148.65,148.65,148.65,148.65,1.0,1674541800.0
148.65,149.2,148.65,149.0,137.0,1674542100.0
149.0,149.0,147.85,148.1,328.0,1674542400.0
148.2,148.2,147.85,148.1,760.0,1674542700.0
148.1,148.2,148.05,148.05,52.0,1674543000.0
148.05,148.4,148.05,148.4,56.0,1674543300.0
148.4,148.4,148.1,148.1,1.0,1674543600.0
148.1,148.95,148.1,148.95,1.0,1674543900.0
149.0,149.0,149.0,149.0,8.0,1674544200.0
149.0,149.0,149.0,149.0,0.0,1674544500.0
149.0,149.0,149.0,149.0,0.0,1674544800.0
149.0,149.0,149.0,149.0,0.0,1674545100.0
149.0,149.0,148.9,148.9,160.0,1674545400.0
148.9,148.9,148.9,148.9,0.0,1674545700.0
147.9,147.9,147.9,147.9,7.0,1674546000.0
147.9,147.9,147.9,147.9,10.0,1674546300.0
148.9,148.9,147.9,148.85,212.0,1674546600.0
148.85,148.85,148.6,148.6,11.0,1674546900.0
148.6,148.6,148.55,148.55,4.0,1674547200.0
148.55,148.55,148.55,148.55,0.0,1674547500.0
148.55,148.55,148.55,148.55,0.0,1674547800.0
148.55,148.6,148.55,148.6,100.0,1674548100.0
148.6,148.6,148.55,148.55,83.0,1674548400.0
148.55,148.55,148.55,148.55,0.0,1674548700.0
148.55,148.55,147.85,148.4,97.0,1674549000.0
148.4,148.4,148.4,148.4,0.0,1674549300.0
148.4,148.4,148.4,148.4,0.0,1674549600.0
148.4,148.4,148.4,148.4,0.0,1674549900.0
148.5,148.5,147.9,147.9,285.0,1674550200.0
148.4,148.55,148.4,148.45,457.0,1674550500.0
148.85,150.35,148.85,149.95,1390.0,1674550800.0
149.2,149.95,149.2,149.95,180.0,1674551100.0
150.0,150.05,150.0,150.05,241.0,1674551400.0
150.05,150.05,148.15,149.0,924.0,1674551700.0
149.85,150.05,149.6,149.6,809.0,1674552000.0
149.6,149.9,149.55,149.55,105.0,1674552300.0
149.5,149.7,149.05,149.05,804.0,1674552600.0
149.05,149.45,149.05,149.45,33.0,1674552900.0
149.5,149.5,149.5,149.5,7.0,1674553200.0
149.5,149.5,149.5,149.5,9.0,1674553500.0
149.75,149.95,149.1,149.95,827.0,1674553800.0
149.95,153.8,149.75,150.95,3805.0,1674554100.0
