open,high,low,close,volume,timestamp,datetime
12.0,12.0,10.0,10.14,42856.0,1748403900.0,2025-05-28 09:15:00+05:30
10.14,10.14,10.05,10.06,14626.0,1748404200.0,2025-05-28 09:20:00+05:30
10.1,10.12,10.07,10.08,6606.0,1748404500.0,2025-05-28 09:25:00+05:30
10.1,10.1,10.08,10.1,4639.0,1748404800.0,2025-05-28 09:30:00+05:30
10.1,10.11,10.08,10.09,5020.0,1748405100.0,2025-05-28 09:35:00+05:30
10.1,10.11,10.08,10.11,5191.0,1748405400.0,2025-05-28 09:40:00+05:30
10.11,10.11,10.1,10.1,375.0,1748405700.0,2025-05-28 09:45:00+05:30
10.1,10.1,10.08,10.1,2048.0,1748406000.0,2025-05-28 09:50:00+05:30
10.1,10.1,10.1,10.1,2801.0,1748406300.0,2025-05-28 09:55:00+05:30
10.1,10.1,10.08,10.1,1343.0,1748406600.0,2025-05-28 10:00:00+05:30
10.08,10.1,10.08,10.1,497.0,1748406900.0,2025-05-28 10:05:00+05:30
10.1,10.1,10.08,10.09,2148.0,1748407200.0,2025-05-28 10:10:00+05:30
10.09,10.09,10.08,10.08,709.0,1748407500.0,2025-05-28 10:15:00+05:30
10.08,10.1,10.08,10.09,2398.0,1748407800.0,2025-05-28 10:20:00+05:30
10.1,10.1,10.08,10.09,2904.0,1748408100.0,2025-05-28 10:25:00+05:30
10.09,10.09,10.09,10.09,17.0,1748408400.0,2025-05-28 10:30:00+05:30
10.1,10.1,10.07,10.07,1937.0,1748408700.0,2025-05-28 10:35:00+05:30
10.08,10.09,10.06,10.09,10076.0,1748409000.0,2025-05-28 10:40:00+05:30
10.09,10.09,10.09,10.09,779.0,1748409300.0,2025-05-28 10:45:00+05:30
10.09,10.09,10.08,10.09,1819.0,1748409600.0,2025-05-28 10:50:00+05:30
10.09,10.09,10.09,10.09,200.0,1748409900.0,2025-05-28 10:55:00+05:30
10.09,10.09,10.09,10.09,254.0,1748410200.0,2025-05-28 11:00:00+05:30
10.09,10.09,10.08,10.08,1438.0,1748410500.0,2025-05-28 11:05:00+05:30
10.08,10.09,10.08,10.08,897.0,1748410800.0,2025-05-28 11:10:00+05:30
10.08,10.09,10.08,10.09,6303.0,1748411100.0,2025-05-28 11:15:00+05:30
10.09,10.09,10.07,10.09,1426.0,1748411400.0,2025-05-28 11:20:00+05:30
10.09,10.09,10.07,10.09,192.0,1748411700.0,2025-05-28 11:25:00+05:30
10.09,10.09,10.08,10.09,2437.0,1748412000.0,2025-05-28 11:30:00+05:30
10.06,10.09,10.06,10.09,15504.0,1748412300.0,2025-05-28 11:35:00+05:30
10.06,10.09,10.06,10.09,275.0,1748412600.0,2025-05-28 11:40:00+05:30
10.09,10.09,10.09,10.09,209.0,1748412900.0,2025-05-28 11:45:00+05:30
10.09,10.1,10.08,10.08,2209.0,1748413200.0,2025-05-28 11:50:00+05:30
10.08,10.1,10.07,10.1,2679.0,1748413500.0,2025-05-28 11:55:00+05:30
10.1,10.1,10.1,10.1,57.0,1748413800.0,2025-05-28 12:00:00+05:30
10.1,10.1,10.07,10.07,12935.0,1748414100.0,2025-05-28 12:05:00+05:30
10.09,10.09,10.06,10.09,5349.0,1748414400.0,2025-05-28 12:10:00+05:30
10.07,10.1,10.06,10.1,1040.0,1748414700.0,2025-05-28 12:15:00+05:30
10.1,10.1,10.1,10.1,0.0,1748415000.0,2025-05-28 12:20:00+05:30
10.1,10.1,10.07,10.07,1281.0,1748415300.0,2025-05-28 12:25:00+05:30
10.1,10.1,10.1,10.1,150.0,1748415600.0,2025-05-28 12:30:00+05:30
10.1,10.11,10.1,10.11,121.0,1748415900.0,2025-05-28 12:35:00+05:30
10.11,10.11,10.11,10.11,2549.0,1748416200.0,2025-05-28 12:40:00+05:30
10.11,10.11,10.08,10.11,10733.0,1748416500.0,2025-05-28 12:45:00+05:30
10.11,10.11,10.11,10.11,2699.0,1748416800.0,2025-05-28 12:50:00+05:30
10.11,10.12,10.11,10.12,1049.0,1748417100.0,2025-05-28 12:55:00+05:30
10.11,10.12,10.11,10.12,2751.0,1748417400.0,2025-05-28 13:00:00+05:30
10.12,10.12,10.11,10.11,38509.0,1748417700.0,2025-05-28 13:05:00+05:30
10.08,10.08,10.08,10.08,1206.0,1748418000.0,2025-05-28 13:10:00+05:30
10.11,10.11,10.1,10.1,6.0,1748418300.0,2025-05-28 13:15:00+05:30
10.1,10.1,10.08,10.08,457.0,1748418600.0,2025-05-28 13:20:00+05:30
10.1,10.11,10.1,10.11,77.0,1748418900.0,2025-05-28 13:25:00+05:30
10.11,10.11,10.08,10.08,999.0,1748419200.0,2025-05-28 13:30:00+05:30
10.11,10.11,10.08,10.08,183.0,1748419500.0,2025-05-28 13:35:00+05:30
10.08,10.1,10.08,10.1,11016.0,1748419800.0,2025-05-28 13:40:00+05:30
10.1,10.1,10.08,10.08,348.0,1748420100.0,2025-05-28 13:45:00+05:30
10.1,10.1,10.1,10.1,314.0,1748420400.0,2025-05-28 13:50:00+05:30
10.1,10.1,10.1,10.1,623.0,1748420700.0,2025-05-28 13:55:00+05:30
10.1,10.1,10.08,10.08,99.0,1748421000.0,2025-05-28 14:00:00+05:30
10.1,10.11,10.08,10.08,7105.0,1748421300.0,2025-05-28 14:05:00+05:30
10.08,10.11,10.08,10.11,104.0,1748421600.0,2025-05-28 14:10:00+05:30
