open,high,low,close,volume,timestamp,datetime
21.25,21.25,20.8,20.85,28461.0,1758858300.0,2025-09-26 09:15:00+05:30
20.85,20.85,20.66,20.7,4263.0,1758858600.0,2025-09-26 09:20:00+05:30
20.7,20.83,20.7,20.8,3103.0,1758858900.0,2025-09-26 09:25:00+05:30
20.8,20.8,20.6,20.6,11915.0,1758859200.0,2025-09-26 09:30:00+05:30
20.5,20.71,20.38,20.5,25791.0,1758859500.0,2025-09-26 09:35:00+05:30
20.4,20.4,20.32,20.36,12126.0,1758859800.0,2025-09-26 09:40:00+05:30
20.36,20.52,20.36,20.48,3630.0,1758860100.0,2025-09-26 09:45:00+05:30
20.66,21.2,20.38,20.64,10835.0,1758860400.0,2025-09-26 09:50:00+05:30
20.6,20.98,20.6,20.9,20888.0,1758860700.0,2025-09-26 09:55:00+05:30
20.93,20.98,20.9,20.95,188436.0,1758861000.0,2025-09-26 10:00:00+05:30
20.99,21.25,20.96,21.24,158875.0,1758861300.0,2025-09-26 10:05:00+05:30
21.25,21.25,21.1,21.17,14959.0,1758861600.0,2025-09-26 10:10:00+05:30
21.17,21.17,21.17,21.17,285.0,1758861900.0,2025-09-26 10:15:00+05:30
21.17,21.17,21.0,21.02,105198.0,1758862200.0,2025-09-26 10:20:00+05:30
20.9,20.99,20.87,20.99,2230.0,1758862500.0,2025-09-26 10:25:00+05:30
20.99,21.0,20.99,21.0,24.0,1758862800.0,2025-09-26 10:30:00+05:30
21.0,21.0,20.9,20.99,290.0,1758863100.0,2025-09-26 10:35:00+05:30
21.0,21.23,21.0,21.21,213747.0,1758863400.0,2025-09-26 10:40:00+05:30
21.19,21.19,21.15,21.15,325.0,1758863700.0,2025-09-26 10:45:00+05:30
21.15,21.3,21.15,21.3,3697.0,1758864000.0,2025-09-26 10:50:00+05:30
21.23,21.25,21.23,21.25,104.0,1758864300.0,2025-09-26 10:55:00+05:30
21.2,21.59,21.18,21.53,62891.0,1758864600.0,2025-09-26 11:00:00+05:30
21.5,21.84,21.34,21.65,68958.0,1758864900.0,2025-09-26 11:05:00+05:30
21.79,21.79,21.65,21.65,10442.0,1758865200.0,2025-09-26 11:10:00+05:30
21.64,22.14,21.63,21.88,316550.0,1758865500.0,2025-09-26 11:15:00+05:30
21.87,22.39,21.8,21.93,67885.0,1758865800.0,2025-09-26 11:20:00+05:30
22.0,22.29,21.66,21.7,337340.0,1758866100.0,2025-09-26 11:25:00+05:30
21.75,21.96,21.65,21.76,4942.0,1758866400.0,2025-09-26 11:30:00+05:30
21.7,21.76,21.65,21.76,6458.0,1758866700.0,2025-09-26 11:35:00+05:30
21.66,21.78,21.36,21.49,114312.0,1758867000.0,2025-09-26 11:40:00+05:30
21.49,21.53,21.36,21.36,29317.0,1758867300.0,2025-09-26 11:45:00+05:30
21.43,21.5,21.36,21.36,4468.0,1758867600.0,2025-09-26 11:50:00+05:30
21.36,21.47,21.31,21.36,12092.0,1758867900.0,2025-09-26 11:55:00+05:30
21.5,21.5,21.31,21.32,2470.0,1758868200.0,2025-09-26 12:00:00+05:30
21.43,21.49,21.32,21.32,1135.0,1758868500.0,2025-09-26 12:05:00+05:30
21.32,21.45,21.32,21.45,619.0,1758868800.0,2025-09-26 12:10:00+05:30
21.33,21.6,21.33,21.5,102521.0,1758869100.0,2025-09-26 12:15:00+05:30
21.54,21.56,21.53,21.55,411.0,1758869400.0,2025-09-26 12:20:00+05:30
21.55,21.65,21.51,21.55,1277.0,1758869700.0,2025-09-26 12:25:00+05:30
21.52,21.58,21.51,21.58,727.0,1758870000.0,2025-09-26 12:30:00+05:30
21.58,21.7,21.58,21.7,28405.0,1758870300.0,2025-09-26 12:35:00+05:30
21.7,21.7,21.65,21.69,1130.0,1758870600.0,2025-09-26 12:40:00+05:30
21.69,21.8,21.6,21.74,17486.0,1758870900.0,2025-09-26 12:45:00+05:30
21.7,21.72,21.68,21.7,5991.0,1758871200.0,2025-09-26 12:50:00+05:30
21.7,21.72,21.65,21.72,8416.0,1758871500.0,2025-09-26 12:55:00+05:30
21.72,21.75,21.7,21.75,515.0,1758871800.0,2025-09-26 13:00:00+05:30
21.72,21.75,21.7,21.75,5028.0,1758872100.0,2025-09-26 13:05:00+05:30
21.71,21.74,21.5,21.7,5057.0,1758872400.0,2025-09-26 13:10:00+05:30
21.74,21.74,21.66,21.7,63595.0,1758872700.0,2025-09-26 13:15:00+05:30
21.7,21.74,21.67,21.74,485.0,1758873000.0,2025-09-26 13:20:00+05:30
21.68,21.72,21.48,21.7,5866.0,1758873300.0,2025-09-26 13:25:00+05:30
21.66,21.72,21.47,21.72,57235.0,1758873600.0,2025-09-26 13:30:00+05:30
21.72,21.72,21.63,21.63,1054.0,1758873900.0,2025-09-26 13:35:00+05:30
21.63,21.71,21.61,21.65,7250.0,1758874200.0,2025-09-26 13:40:00+05:30
21.65,21.7,21.65,21.7,73.0,1758874500.0,2025-09-26 13:45:00+05:30
21.71,21.71,21.65,21.7,26237.0,1758874800.0,2025-09-26 13:50:00+05:30
21.66,21.7,21.62,21.65,4962.0,1758875100.0,2025-09-26 13:55:00+05:30
21.65,21.72,21.65,21.69,8066.0,1758875400.0,2025-09-26 14:00:00+05:30
21.69,21.73,21.69,21.73,19983.0,1758875700.0,2025-09-26 14:05:00+05:30
21.66,21.73,21.66,21.73,40.0,1758876000.0,2025-09-26 14:10:00+05:30
21.73,21.73,21.63,21.65,1860.0,1758876300.0,2025-09-26 14:15:00+05:30
21.7,21.73,21.63,21.71,6941.0,1758876600.0,2025-09-26 14:20:00+05:30
21.63,21.92,21.63,21.8,13174.0,1758876900.0,2025-09-26 14:25:00+05:30
21.82,21.82,21.62,21.65,5746.0,1758877200.0,2025-09-26 14:30:00+05:30
21.63,21.97,21.6,21.74,9567.0,1758877500.0,2025-09-26 14:35:00+05:30
21.65,21.96,21.62,21.7,6821.0,1758877800.0,2025-09-26 14:40:00+05:30
21.7,21.7,21.5,21.65,8218.0,1758878100.0,2025-09-26 14:45:00+05:30
21.65,21.65,21.64,21.65,1392.0,1758878400.0,2025-09-26 14:50:00+05:30
21.66,21.69,21.58,21.69,1306.0,1758878700.0,2025-09-26 14:55:00+05:30
