open,high,low,close,volume,timestamp,datetime
39.99,39.99,39.98,39.99,11.0,1749787080.0,2025-06-13 09:28:00+05:30
39.0,39.99,39.0,39.0,31.0,1749787200.0,2025-06-13 09:30:00+05:30
39.0,39.89,39.0,39.89,111.0,1749787500.0,2025-06-13 09:35:00+05:30
39.89,39.89,39.89,39.89,50.0,1749787800.0,2025-06-13 09:40:00+05:30
39.89,39.89,39.89,39.89,8.0,1749788100.0,2025-06-13 09:45:00+05:30
39.89,39.89,39.66,39.66,100.0,1749788400.0,2025-06-13 09:50:00+05:30
39.66,39.66,38.61,38.61,10.0,1749788700.0,2025-06-13 09:55:00+05:30
38.61,38.61,38.61,38.61,0.0,1749789000.0,2025-06-13 10:00:00+05:30
38.61,39.66,38.61,39.66,10.0,1749789300.0,2025-06-13 10:05:00+05:30
39.66,39.66,39.66,39.66,0.0,1749789600.0,2025-06-13 10:10:00+05:30
39.66,39.66,39.66,39.66,1.0,1749789900.0,2025-06-13 10:15:00+05:30
39.66,39.66,39.66,39.66,15.0,1749790200.0,2025-06-13 10:20:00+05:30
39.7,39.7,39.7,39.7,258.0,1749790500.0,2025-06-13 10:25:00+05:30
39.7,39.7,39.7,39.7,0.0,1749790800.0,2025-06-13 10:30:00+05:30
39.7,39.7,38.0,38.0,218.0,1749791100.0,2025-06-13 10:35:00+05:30
38.0,38.0,38.0,38.0,4109.0,1749791400.0,2025-06-13 10:40:00+05:30
38.0,38.0,38.0,38.0,673.0,1749791700.0,2025-06-13 10:45:00+05:30
38.0,39.5,38.0,39.4,34.0,1749792000.0,2025-06-13 10:50:00+05:30
39.4,39.4,39.4,39.4,0.0,1749792300.0,2025-06-13 10:55:00+05:30
39.4,39.4,37.95,37.95,1174.0,1749792600.0,2025-06-13 11:00:00+05:30
37.95,37.95,37.95,37.95,0.0,1749792900.0,2025-06-13 11:05:00+05:30
37.95,37.99,37.95,37.99,11.0,1749793200.0,2025-06-13 11:10:00+05:30
37.99,37.99,37.99,37.99,507.0,1749793500.0,2025-06-13 11:15:00+05:30
